NAME,NAME_FR,QUESTION_ID
"Sind Neubauten oder bauliche Veränderungen, mit mehr als 30 Grossvieheinheiten (GVE) betroffen?",De nouvelles constructions ou des transformations destinées à plus de 30 unités de gros bétail (UGB) sont-elles concernées?,40024
Werden neue Hofdüngeranlagen erstellt?,De nouvelles installations de stockage d'engrais de ferme sont-elles prévues?,40025
Werden Siloanlagen erstellt?,Des silos sont-ils prévus?,40026
Handelt es sich um ein landwirtschaftliches Bauvorhaben mit Ableitung (Abwasser aus Wohn- und/oder ökonomieteil) in eine Güllegrube?,S'agit-il d'un projet de construction agricole prévoyant le déversement d'eaux usées (du logement et/ou du rural) dans une fosse à purin?,40027
Werden nach der Bauabnahme Anlagen oder Maschinen aus den folgenden Kategorien betrieben?,Des installations ou des machines relevant des catégories suivantes seront-elles utilisées après la réception des travaux?,40028
Um was handelt es sich beim Vorhaben?,Sur quoi le projet porte-t-il?,40029
Dossier-Nr.,N° du dossier,40030
Strasse/Flurname,Rue/lieu-dit,40031
Nr.,N°,40032
Zuständige Gemeinde,Commune compétente,40033
Parzellen-Nr. / Liegenschaftsnummer,N° de parcelle / de bien-fonds,40034
Baurecht-Nummer,Numéro du droit de superficie,40035
Lagekoordinaten – Ost,Coordonnées planimétriques – Est,40036
Lagekoordinaten – Nord,Coordonnées planimétriques – Nord,40037
BE-GID,BE-GID,40038
GWR-EGID,N° RegBL-EGID,40039
E-GRID-Nr.,N° E-GRID,40040
Ausnützung,Utilisation,40041
Grünfläche in m²,Surface verte en m²,40042
überbauung in %,Occupation du sol en %,40043
Geschossfläche in m²,Surface de plancher en m²,40044
Rechtliche Sicherung bei Inanspruchnahme fremden Bodens,Garantie juridique en cas de mise à contribution du terrain d'autrui,40045
Nutzungszone,Zone d'affectation,40046
überbauungsordnung,Plan de quartier,40047
Empfindlichkeitsstufe (ES),Degré de sensibilité (DS),40048
Höhe,Hauteur,40049
Effektive Geschosszahl,Nombre effectif d'étages,40050
Grundwasserschutzzonen / -areale,Zone/périmètre de protection des eaux souterraines,40051
Gewässerschutzbereich,Secteur de protection des eaux,40052
Belasteter Standort?,Site pollué?,40053
Bauten oder Pfählen im Grundwasser oder Grundwasserabsenkung,Constructions / pieux dans les eaux souterraines ou abaissement de la nappe phréatique?,40054
Gebiet mit bekannten oder vermuteten Naturgefahren,Dangers naturels connus ou supposés sur le périmètre en question?,40055
Schützenswert [ergänzen: erhaltenswert / K-Objekt?],Objet digne de protection,40056
Baugruppe Bauinventar,Ensemble bâti selon le recensement architectural,40057
Bezeichnung Baugruppe,Description de l'ensemble bâti,40058
RRB,ACE,40059
RRB vom,ACE du,40060
Vertrag,Contrat,40061
Vertrag vom,Contrat du,40062
Objekt des besonderen Landschaftsschutzes,Objet relevant de la protection particulière du paysage,40063
Objektbezeichnung,Description de l’objet,40064
Gebiet mit bekannten oder vermuteten archäologischen Objekten,Secteur dans lequel la présence d'objets archéologiques est connue ou supposée,40065
Naturschutz,Protection de la nature,40066
Wildtierschutz,Protection de la faune sauvage,40067
Ist beim Bauvorhaben Boden (Ober- / Unterboden) betroffen?,Le projet de construction a-t-il un impact sur le sol (couches supérieure et sous-jacente)?,40068
Ist das Bauvorhaben auf einer Höhe ≥ 1'800 m ü. M.,Le projet doit-il être réalisé à une altitude ≥ 1800 m?,40069
Verlässt mit invasiven Neophyten belasteter Boden den Projektperimeter?,Des matériaux terreux contaminés par des plantes néophytes envahissantes sont-ils transportés hors du périmètre du projet?,40070
Erfolgt ein Leitungsbau auf landwirtschaftlich genutztem Boden ≥ 1000 m Länge (ohne Einpflügen)?,La pose de conduites d'une longueur ≥ 1000 m dans des terrains utilisés à des fins agricoles (sans enfouissement dans une tranchée) est-elle prévue?,40071
Gesamte beanspruchte Fläche mit Ober-/Unterboden > 5000 m²?,Total de la surface utilisée (couches supérieure et sous-jacente) > 5000 m²?,40072
Verlassen mehr als 500 m³ Bodenmaterial den Projektperimeter?,Des matériaux terreux d'un volume > 500 m³ sont-ils transportés hors du périmètre du projet?,40073
Verlassen mehr als 1500 m³ Bodenmaterial den Projektperimeter?,Des matériaux terreux d'un volume > 1500 m³ sont-ils transportés hors du périmètre du projet?,40074
Gesamte beanspruchte Fläche mit Ober-/Unterboden > 2000 m²?,Total de la surface utilisée (couches supérieure et sous-jacente) > 2000 m²?,40075
"Findet eine Terrainveränderung < 2000 m², welche zu einer Bodenaufwertung führt?",Une modification de terrain < 2000 m² aboutissant à une valorisation du sol est-elle prévue?,40076
Ist die betroffene Fläche als Fruchtfolgefläche (FFF) ausgeschieden?,La surface concernée est-elle une surface d'assolement (SDA)?,40077
Wurden Vorabklärungen durchgeführt?,Des études préalables ont-elles été réalisées?,40078
Welche Aspekte des  generellen Baugesuches müssen geprüft werden?,Quels aspects de la demande de permis de construire général doivent-ils être examinés?,40079
Sind neben den Gesuchstellenden weitere Personen beteiligt?,"Outre les requérant/e/s, d'autres personnes participent-elles à la procédure?",40080
Zulässige Geschosszahl,Nombre d’étages admis,40081
Ist beim Bauvorhaben Boden (Ober- / Unterboden) betroffen?,Le projet de construction a-t-il un impact sur le sol (couches supérieure et sous-jacente)?,40082
Geplanter Baustart,Début prévu des travaux,40083
Schützenswert,Objet digne de protection,40084
Erhaltenswert,Objet digne de conservation,40085
K-Objekt,Objet C,40086
Ist das Bauvorhaben besonderen Brandrisiken ausgesetzt?,Le projet de construction est-il exposé à des risques d’incendie particuliers?,40087
Werden Brandschutzabstände unterschritten?,Y a-t-il des distances de sécurité incendie qui ne sont pas respectées?,40088
Besondere Brandschutzrisiken,Risques d’incendie particuliers ,40089
"Ersatzmassnahmen, wenn Brandschutzabstände nicht eingehalten sind",Mesures compensatoires en cas de non-respect des distances de sécurité incendie,40090
QSS-Stufe,Degré de l'assurance qualité,40091
Wohnungsgrösse,Dimensions du logement,40092
Anzahl Wohnungen bestehend,Nombre de logements existants,40093
Zimmer bestehend,Pièces existantes,40094
Zimmer neu,Nouvelles pièces,40095
*** TO DELETE,*** TO DELETE,40096
Anzahl Wohnungen neu,Nombre de nouveaux logements,40097
*** TO DELETE,*** TO DELETE,40098
*** TO DELETE,*** TO DELETE,40099
Wohnungen bestehend,Logements existants,40100
Wohnungen neu,Nouveaux logements,40101
Abstellplätze für Fahrzeuge oder Fahrradabstellplätze?,Places de stationnement pour véhicules ou pour bicyclettes?,40102
Anzahl Abstellplätze für Motorfahrzeuge,Nombre de places de stationnement pour véhicules à moteur,40103
Davon in Garagen oder Einstellhallen,Dont places dans des garages ou parkings souterrains,40104
Abstellplätze für Fahrräder und Motorfahrräder,Places de stationnement pour bicyclettes et cyclomoteurs,40105
Davon überdacht,Dont places couvertes,40106
"Werden neu wassergefährdende, explosive, gesundheitsgefährdende oder brennbare Stoffe gelagert oder verwendet?","Des substances dangereuses pour la santé, pouvant polluer les eaux, explosives ou inflammables sont-elles nouvellement stockées ou utilisées?",40107
Lagerstoff,Substances stockées,40108
Neu / Bestehend,Nouvelles / existantes,40109
Menge,Quantité,40110
Massangabe,Mesure utilisée,40111
Lagerort,Lieu de stockage,40112
Brennbare Flüssigkeit / Gas,Substance inflammable / gaz,40113
Flammpunkt,Point d'éclair,40114
Gesundheitsschädlich oder explosiv,Substances dangereuses pour la santé ou explosives,40115
Wassergefährdend,Substances pouvant polluer les eaux,40116
Gebindelager mit totalem Nutzvolumen > 450 l oder Tankanlagen mit > 450 l pro Tank,Entreposage de récipients d'un volume utile total > 450 l ou petits réservoirs  > 450 l par réservoir,40117
"Ist das Gebinde / Tankanlage in einer Grundwasserschutzzone S3, Sm und / oder einem Grundwasserschutzareal?","Le récipient / réservoir est-il placé dans une zone de protection des eaux souterraines S3, Sm ou autre?",40118
"Handelt es sich um eine Tankanlage mit Behältern, die jeweils grösser als 2000 l sind?",S'agit-il d'une citerne avec des compartiments d'une contenance > 2000 l chacun?,40119
"Werden Tanks und Rohrleitungen in Gewässerschutzbereichen Ao, Au, Zo, Zu erdverlegt?","Des réservoirs ou des conduites sont-ils enterrés dans des secteurs de protection des eaux Ao, Au, Zo, Zu?",40120
Werden Flüssigkeiten der Wassergefährdungsklasse A (entspricht WGK 2 und 3) gelagert?,Des liquides pouvant polluer les eaux de la classe A (correspondant aux classes 2 et 3) sont-ils stockés?,40121
Kleintank vorhanden?,Présence d'un petit réservoir?,40122
Kleintank,Petit réservoir,40123
Behälterwerkstoff,Matériau du récipient,40124
Tankfabrikant,Marque de la citerne,40125
Fassvermögen in Liter,Contenance en litres,40126
Total Fassvermögen in Liter,Contenance totale en litres,40127
Mehrkammertanks vorhanden?,Présence d'une citerne à plusieurs compartiments?,40128
Behälterwerkstoff,Matériau du récipient,40129
Tankfabrikant,Marque de la citerne,40130
Kammer,Compartiment,40131
Fassvermögen in Liter,Contenance en litres,40132
Lagergut,Matières entreposées,40133
Total Fassvermögen Mehrkammertank in Liter,Contenance totale de la citerne à plusieurs compartiments en litres,40134
Füllsicherung,Intercepteur de remplissage,40135
Fabrikat,Marque,40136
Leckwarnsystem,Système de détection des fuites,40137
Fabrikat,Marque,40138
Produkteleitung,Conduite de liquide,40139
Druckausgleichsleitung Durchmesser in Zoll,Diamètre de la conduite compensatrice de pression en pouces,40140
Druckausgleichsleitung Rohrlänge in Meter,Longueur de la conduite compensatrice de pression en mètres,40141
Schutzbauwerk,Ouvrage de protection,40142
Rückhaltevolumen des Schutzbauwerks in %,Volume de rétention de l'ouvrage de protection en %,40143
Auskleidung,Revêtement ,40144
Fabrikat,Marque,40145
Auffangwanne,Bassin de rétention,40146
Rückhaltevolumen der Auffangwanne in %,Volume de rétention du bassin en %,40147
Sind Belange des Gewässerschutzes betroffen?,Des aspects de la protection des eaux sont-ils concernés?,40148
Bauvorhaben innerhalb Kanalisationsbereich gemäss GEP,Projet de construction dans le périmètre des égouts selon le PGEE,40149
Bauvorhaben ausserhalb Kanalisationsbereich gemäss GEP,Projet de construction hors du périmètre des égouts selon le PGEE,40150
Abwasseranschluss,Raccordement des conduites d’eaux usées,40151
Ableitung der häuslichen Abwässer in,Evacuation des eaux usées domestiques dans,40152
Beschreibung,Description,40153
"Es erfolgen änderungen an Dachflächen, Zufahrten, Plätzen, PW-Parkplätzen?","Est-il prévu d'apporter des changements aux surfaces des toitures, voies d'accès, places et places de stationnement pour véhicules?",40154
Neue Dachflächen in m²,Nouvelles surfaces de toiture en m²,40155
Zufahrten / Plätze in m²,"Nouvelles voies d'accès, places en m²",40156
"Neubau von Abwasseranlagen, Grundleitungen, Grundstücksanschlussleitungen?","Construction de nouveaux équipements d'assainissement, de canalisations et de conduites de raccordement",40157
Nur sanitärtechnische Anpassungen der Liegenschaft?,Adaptation / modification des installations sanitaires de l'immeuble uniquement?,40158
Entwässerung der Dachflächen,Evacuation des eaux des surfaces de toiture,40159
Versickerung?,Infiltration?,40160
Typ,Type,40161
Art,Nature,40162
Platz- und Verkehrsflächen,Places et aires de circulation,40163
Versickerung?,Infiltration?,40164
Typ,Type,40165
Art,Nature,40166
"Fallen im bestehenden Betrieb industrielle / gewerbliche Abwässer (Prozess-, Reinigungs-, Spül-, Kühlwässer) an?","L’entreprise existante produit-elle des eaux usées industrielles ou artisanales (eaux utilisées dans des procédés industriels, eaux de nettoyage, eaux de rinçage, eaux de refroidissement)?",40167
"Fallen im neuen Betriebsteil industrielle / gewerbliche Abwässer (Prozess-, Reinigungs-, Spül-, Kühlwässer) an?","La nouvelle partie de l’entreprise produit-elle des eaux usées industrielles ou artisanales (eaux utilisées dans des procédés industriels, eaux de nettoyage, eaux de rinçage, eaux de refroidissement)?",40168
Wie gross ist der (geschätzte) Wasserverbrauch im bestehenden Betrieb (m³/a)?,Quelle est la consommation d’eau (m³/a) prévue dans l'entreprise existante (évaluation)?,40169
Wie gross ist der (geschätzte) Wasserverbrauch im neuen Betriebsteil (m³/a)?,Quelle est la consommation d’eau (m³/a) prévue dans la nouvelle partie de l'entreprise (évaluation)?,40170
Ist eine Behandlung / Kontrolle der Abwässer vorhanden oder geplant?,Un traitement ou un contrôle des eaux usées est-il en place ou prévu?,40171
Wird Kühlwaasser im Betrieb verwendet?,L’entreprise produit-elle des eaux de refroidissement?,40172
Terrain-Kote (m ü. M.),Niveau du terrain (m s. m.),40173
"Tiefste Kote der Aushubsohle, inkl. lokaler Vertiefungen (m ü. M.)",Cote du point le plus bas de la fouille (y compris approfondissements locaux) (m s. m.),40174
Unterkante der Baugrubenumschliessung  (m ü. M.),Cote la plus basse de l'enceinte de la fouille  (m s. m.),40175
Höchstmöglicher Grundwasserspiegel  (m ü. M.),Niveau maximum de la nappe (m s. m.),40176
Mittlerer Grundwasserspiegel  (m ü. M.),Niveau moyen de la nappe (m s. m.),40177
Im Grundwasser verbleibendes Einbauvolumen in m³ (inkl. Pfähle) bei Mittelwasserstand (MW),Volume immergé en permanence dans la nappe (y compris pieux) au niveau moyen,40178
Art der Fundationsmassnahmen,Genre de fondations,40179
Beschreibung,Description,40180
Art der Baugrubenumschliessung,Enceinte de la fouille,40181
Beschreibung,Description,40182
Art der Grundwasserabsenkung,Technique d'abaissement de la nappe,40183
Beschreibung,Description,40184
Menge des abzuleitenden Grundwassers (voraussichtlich) in Liter / Minute,Quantité d'eaux évacuées (estimée) en litres/minute,40185
Versickerung,Infiltration,40186
Oberflächengewässer direkt?,Dans un cours d'eau directement?,40187
Name des Gewässers,Nom du cours d'eau,40188
Oberflächengewässer via Regenabwasserleitung?,Dans un cours d'eau via la canalisation d'eaux pluviales?,40189
Name des Gewässers,Nom du cours d'eau,40190
Schmutz- oder Mischwasserkanalisation?,Canalisation d'eaux usées ou d'eaux mixtes?,40191
Ist das Vorhaben energierelevant?,Le projet est-il important au plan énergétique?,40192
Ist der/die Projektverfasser/in identisch mit dem/der Gesamtprojektverfasser/in?,L'auteur du projet est-il le même que celui du projet global?,40193
Name Betrieb,Nom de l’établissement ,40194
Kontaktperson – Vorname,Contact – Prénom,40195
Kontaktperson – Name,Contact – Nom,40196
Strasse,Rue,40197
Nummer,Numéro,40198
PLZ,NPA,40199
Ort,Localité,40200
Telefon oder Mobile,Téléphone fixe ou mobile,40201
E-Mail,Courriel,40202
"Ist das Bauvorhaben Teil eines Gebäudes oder Gebäudeparks, welches bereits ein Grossverbraucher ist oder ist das Bauvorhaben ein eigenständiger Grossverbraucher?","Le projet de construction porte-t-il sur une partie de bâtiment ou un ensemble de bâtiments qui a le statut de gros consommateur, ou le projet de construction constitue-t-il à lui seul un gros consommateur?",40203
Werden Erleichterungen vom winterlichen Wärmeschutz oder eine Befreiung vom sommerlichen Wärmeschutz beantragt?,Une demande d'allégement des exigences en matière d’isolation thermique contre le froid ou de dispense du respect des exigences en matière d’isolation thermique contre la chaleur est-elle formulée?,40204
Wird eine Ausnahme im Sinne von Artikel 64 KEnV beantragt?,Une dérogation au sens de l'article 64 OCEn est-elle demandée?,40205
Ist ein Schutzraum für das entsprechende Baugesuch Pflicht?,La construction d'un abri est-elle obligatoire dans le cas du projet de construction en question?,40206
Wird eine Schutzraumbefreiung beantragt?,Une dispense de l'obligation de construire un abri est-elle demandée?,40207
Anzahl Zimmer,Nombre de pièces,40208
Total Schutzplätze,Nombre total de places protégées,40209
Anzahl Betten,Nombre de lits,40210
Total Schutzplätze,Nombre total de places protégées,40211
Wird der Schutzraum als Sammelschutzraum erstellt?,S’agit-t-il d’un abri commun?,40212
Für welche Gebäude?,Pour quels bâtiments,40213
"Werden in diesen Schutzraum Gebäude, die von Sicherheitsleistung befreit sind, integriert?","Cet abri est-il également destiné à des bâtiments dont les propriétaires ont été exemptés, moyennant une sûreté, de l'obligation de construire un abri?",40214
Amts- / Verfügungsnummer,Numéro du rapport officiel ou de la décision,40215
Anzahl Zimmer,Nombre de pièces,40216
Total Schutzplätze,Nombre total de places protégées,40217
Anzahl Betten,Nombre de lits,40218
Total Schutzplätze,Nombre total de places protégées,40219
Begründung des Befreiungsgesuches,Motivation de la demande d'exemption,40220
Welche Wärmepumpen sind im Bauvorhaben vorgesehen?,Quelles pompes à chaleur sont-elles prévues dans le projet de construction?,40221
Ist der/die Projektverfasser/in identisch mit dem/der Gesamtprojektverfasser/in?,Le projet et le projet global émanent-ils du/de la même auteur/e?,40222
Name Betrieb,Nom de l’établissement ,40223
Kontaktperson – Vorname,Contact – Prénom,40224
Kontaktperson – Name,Contact – Nom,40225
Strasse,Rue,40226
Nummer,Numéro,40227
PLZ,NPA,40228
Ort,Localité,40229
Telefon oder Mobile,Téléphone fixe ou mobile,40230
E-Mail,Courriel,40231
Fabrikat,Marque,40232
Typ,Type,40233
Kältemittel,Agent réfrigérant,40234
Füllmenge in kg,Remplissage en kg,40235
Kälteleistung in kW (B0/W35),Puissance frigorifique en kW (B0/W35),40236
Heizleistungsbedarf in kW (falls Kälteleistung nicht bekannt),Besoins en puissance de chauffage en kW (si la puissance frigorifique n'est pas connue),40237
Betriebsweise,Mode de fonctionnement ,40238
Verwendungszweck,Affectation,40239
Beschreibung,Description,40240
Erfolgt der Entzug / Eintrag von Wärme mittels Erdwärmesonde?,Le prélèvement/rejet de chaleur a-t-il lieu au moyen d'une sonde géothermique?,40241
*** to delete,*** to delete,40242
Sondenmodell,Modèle de sonde,40243
Sondendurchmesser in mm,Diamètre des sondes en mm,40244
Anzahl Sonden,Nombre de sondes,40245
Bohrlänge einzeln in Meter,Longueur des forages par sonde en mètres,40246
Borhrlänge pro Sondenmodell,Longueur des forages par modèle de sonde,40247
Total Bohrlänge,Longueur totale des forages,40248
Spezifische Wärmeentzugsleistung in W/m,Puissance spécifique de prélèvement de chaleur en W/m,40249
Wärmeträgerflüssigkeit,Liquide caloporteur,40250
Füllmenge Total in Liter,Remplissage total en litres,40251
Erfolgt eine Regeneration oder eine aktive thermische Aufladung?,Une régénération ou une alimentation thermique active a-t-elle lieu?,40252
System,Système,40253
Dimensionierung der Erdwärmesonde(n) nach SIA-Norm 384-6?,La ou les sondes thermiques sont-elles dimensionnées selon la norme SIA 384-6?,40254
Verwendungszweck,Affectation,40255
Beschreibung,Description,40256
Kälteleistung in kW (W10/W35),Puissance frigorifique en kW (B0/W35),40257
Heizleistungsbedarf in kW (falls Kälteleistung nicht bekannt),Besoins en puissance de chauffage en kW (si la puissance frigorifique n'est pas connue),40258
Lage,Situation,40259
Verwendungszweck,Affectation,40260
Beschreibung,Description,40261
Kälteleistung in kW,Puissance frigorifique en kW (B0/W35),40262
Heizleistungsbedarf in kW (falls Kälteleistung nicht bekannt),Besoins en puissance de chauffage en kW (si la puissance frigorifique n'est pas connue),40263
Schalldruckpegel (dB(A)),Niveau sonore en dB(A),40264
Schallleistungspegel (dB(A)),Niveau de puissance acoustique en dB(A),40265
In Abstand (Meter),Distance en mètres,40266
Dauert die lärmige Bauphase (Bauzeit) länger als 6 Tage?,Les travaux de construction bruyants doivent-ils durer plus de six jours?,40267
Werden lärmintensive Bauarbeiten an mehr als 6 Tagen ausgeführt und dauern diese pro Tag länger als 1 Stunde?,Des travaux de construction particulièrement bruyants doivent-ils être exécutés pendant plus de six jours et à raison de plus d'une heure par jour?,40268
Finden Bauarbeiten in der Nacht statt?,Des travaux de construction bruyants ont-ils lieu pendant la nuit?,40269
Wird während der akustischen Nachtzeit (19:00 – 07:00) gearbeitet?,Des travaux sont-ils prévus pendant la période acoustique nocturne (entre 19h et 7h)?,40270
Erfolgt Güterumschlag im Freien und/oder an Anpass- oder Andockrampen etc.?,"Le matériel et les marchandises sont-ils chargés et déchargés en plein air ou sur des plateformes de chargement, etc.?",40271
"Werden Maschinen und/oder Anlagen betrieben, welche Aussenlärmimmissionen verursachen?",Des machines ou des installations émettant du bruit extérieur sont-elles utilisées?,40272
Wird auf dem Areal ein mobiler oder stationärer Brecher oder Holzhacker betrieben?,Un concasseur ou un broyeur à bois mobile ou stationnaire est-il utilisé sur le site?,40273
Werden die Immissionsgrenzwerte der Empfindlichkeitsstufe auf der bebaubaren Fläche überschritten?,Les valeurs limites d'immission selon le degré de sensibilité applicable sont-elles dépassées sur la surface constructible?,40274
Werden die Immissionsgrenzwerte der Empfindlichkeitsstufe im offenen Fenster lärmempfindlicher Räume überschritten?,Les valeurs limites d'immission selon le degré de sensibilité applicable qui sont mesurées au milieu de la fenêtre ouverte des locaux à usage sensible au bruit sont-elles dépassées?,40275
Seit welchem Jahr besteht der Betrieb an diesem Standort?,Depuis quelle année l'exploitation est-elle présente sur ce site?,40276
"Beinhaltet das Vorhaben Neubauten, Umbauten, Erweiterungen oder Umnutzungen, welche mit Schadstoffen oder Gerüchen belastete Luft aus Gebäuden oder Anlagen emittiert?","Le projet comporte-t-il des constructions, des transformations, des agrandissements ou des réaffectations impliquant que des bâtiments ou des installations émettent de l’air contaminé par des substances polluantes / odorantes?",40277
"Beinhaltet das Vorhaben Neubauten, Umbauten, Erweiterungen oder Umnutzungen mit Anlagen oder Prozessen, welche Aussenlärm erzeugen?","Le projet comporte-t-il des constructions, des transformations, des agrandissements ou des réaffectations qui impliquant des installations ou des travaux produisant du bruit extérieur?",40278
Werden Luftemissionen erzeugt?,Des émissions atmosphériques sont-elles générées?,40279
Art der Emmission,Nature des émissions,40280
Beschreibung,Description,40281
Kaminmündung überragt Dachfirst / Flachdach um … (in Meter),L’orifice de la cheminée dépasse le faîte du toit / le toit plat de … mètres,40282
Beinhaltet das Vorhaben eine Abluftentreinigungsanlage?,Le projet comprend-il une installation de purification de l’air évacué?,40283
Typ der Abluftentreinigungsanlage,Type de l'installation de purification de l’air évacué,40284
Feuerung?,Installations de combustion?,40285
Brennstoff,Combustible,40286
Feuerwärmleistung in kW,Puissance calorifique en kW,40287
Name Betrieb,Nom de l’établissement ,40288
Strasse,Rue,40289
Nummer,Numéro,40290
PLZ,NPA,40291
Ort,Localité,40292
Tätigkeit des Betriebs,Activité de l’entreprise,40293
Vorname,Prénom,40294
Name,Nom,40295
Telefon oder Mobile,Téléphone fixe ou mobile,40296
E-Mail,Courriel,40297
Alkoholausschank,Débit de boissons alcooliques,40298
öffentlichkeit,Ouverture au public,40299
öffnungszeiten,Heures d'ouverture,40300
Wochentag,Jour de semaine ,40301
Schliessungszeit,Heure de fermeture,40302
Tanzbetrieb,Danse,40303
Striptease,Strip-tease,40304
Prostitution,Prostitution,40305
Wochentag,Jour de semaine ,40306
öffnungszeit,Heures d'ouverture,40307
Schliesszeit,Heure de fermeture,40308
Damen,Dames,40309
Herren,Hommes,40310
Pissoir,Urinoir,40311
Stockwerk,Etage,40312
Zahl,Nombre,40313
Fläche in m²,Surface en m²,40314
Sitzplätze,Places assises,40315
davon in Sälen,Dont places en salle,40316
Zahl,Nombre,40317
m²,m²,40318
Sitzplätze,Places assises,40319
Fumoir,Fumoir,40320
Gästezimmer,Chambres d'hôtes,40321
Gästebetten,Lits d'hôtes,40322
Appartements,Appartements,40323
Massenlager,Dortoir,40324
Personalbetten,Lits pour le personnel,40325
Betriebskonzept,Conception d'exploitation,40326
Folgender Raum soll als Fumoir bewilligt werden,Le local suivant doit obtenir une autorisation pour être aménagé en fumoir:,40327
Gesamtfläche aller Ausschankräume,Total des surfaces de débit de l’établissement,40328
Fläche Fumoir,Surface du fumoir,40329
Anzahl Sitzplätze Fumoir,Nombre de places assises dans le fumoir,40330
Anzahl Stehplätze Fumoir,Nombre de places debout dans le fumoir,40331
Mechanische Lüftung,Ventilation mécanique,40332
Luftreinigung mit HEPA Filter,Epuration de l’air avec filtre HEPA,40333
Bar/Buffet im Fumoir,Bar / buffet dans le fumoir,40334
Handelt es sich um eine Anlage in welcher mit gentechnisch veränderten oder pathogenen Organismen (Klasse 3 oder 4) Tätigkeiten durchgeführt werden?,S'agit-il d'une entreprise dans laquelle doit être réalisée une activité impliquant des organismes génétiquement modifiés ou pathogènes des classes 3 ou 4?,40335
Verwendungszweck der Anlage,Affectation de l'installation,40336
Beschreibung,Description,40337
