Deutsch,Français
"Handelt es sich um eine Anlage, in welcher mit gentechnisch veränderten oder pathogenen Organismen (Klasse 3 oder 4) Tätigkeiten durchgeführt werden?",S'agit-il d'une entreprise dans laquelle doit être réalisée une activité impliquant des organismes génétiquement modifiés ou pathogènes des classes 3 ou 4?
Informationstext,texte d'information
Überbauungsordnung,plan de quartier
Personalien - Grundeigentümer/in,Données personnelles - propriétaire foncier
Formulardownload (PDF),télécharger le formulaire (pdf)
Pissoire,pissoir
Sondenmodelle Tabelle,modèles de sonde
Lagekoordinaten - Ost,Coordonnées planimétriques - Est
Reklame Tabelle,Réclame
Vertreter/in mit Vollmacht Tabelle,Représentant(e) avec procuration
Projektverfasser/in Tabelle,Auteur du projet
"Die Bauherrschaft nimmt für sich und ihre Rechtsnachfolge zur Kenntnis, dass keine Rückhiebe oder andere über das Kapprecht hinausgehenden Aushiebe an dem vom Näherbau tangierten Wald bewilligt werden; es ist verboten, auch wenn der Wald ihr gehört, solche Hiebe zwecks Verminderung des Schattenwurfes, zur Verbesserung der Aussicht oder aus anderen Gründen vorzunehmen.","Pour lui et ses ayants cause, le maître d'ouvrage prend acte qu'aucun défrichement de lisière de la forêt limitrophe ni autre coupe d'éclaircie allant au-delà du droit de couper les branches qui avancent sur le fonds voisin ne seront autorisés; si la forêt lui appartient, il lui est interdit de procéder à des coupes en vue de diminuer l'ombre projetée, de favoriser la vue ou à tout autre dessein."
-,
...gemessen in Abstand (Meter),mesuré en distance (mètre)
Aussenwand: Bekleidung,mur extérieur: revêtement
Stützen,étayage
Neigung,inclinaison
über 2000kg brennbare Flüssigkeit,substance inlammable supérieure à 2000 kg
Technische Angaben zur Wärmepumpe,données techniques concernant la pompe à chaleur
Mit Überdruck,en surpression 
Eingereicht,soumis/transmis
"Der/die Gesuchsteller/in resp. die bevollmächtigte Vertretung bestätigt mit rechtsgültiger Unterschrift, dass die elektronisch übermittelten Daten (inkl. dem unterzeichneten Situationsplan) vollständig und wahrheitsgetreu ausgefüllt und eingereicht worden sind.",Le maître d'ouvrage ou son/sa représentant/e dûment mandaté/e confirme par sa signature légalement valable que les données transmises par la voie électronique (y c. le plan de situation signé) sont complètes et conformes à la vérité.
Rodungsgesuchsformular BAFU,formulaire de demande de défrichement
Was für ein Vorhaben?,De quel projet s'agit-il?
Dokumente (SB2),documents (DC2)
"Für Deponien, Werkhöfe, Betriebsgebäude oder auf Betriebsarealen","Pour les décharges, centres d'entretien, bâtiments d'exploitation ou aires d’entreprise"
Freigabequittung (SB2),Declaration de validation (DC2)
Maschinen & Anlagen Tabelle,machines & installations
Wird während der akustischen Nachtzeit (19:00 - 07:00) gearbeitet?,Des travaux sont-ils prévus pendant la période acoustique nocturne (entre 19h et 7h)?
Freigabequittung (SB1),Declaration de validation (DC1)
Kontaktperson - Vorname,contact - prénom
Immissionsschutz II,Protection contre les immissions II
Sondenmodelle,modèles de sonde
"Neubau von Abwasseranlagen, Grundleitungen, Grundstückanschlussleitungen?","Construction de nouveaux équipements d'assainissement, de canalisations et de conduites de raccordement"
Tragwerk brennbar,structure porteuse inflammable
"Für die Erzegung, Speicherung oder Lagerung von Strom, Wärme oder Brennstoffen","Pour la production ou le stockage d'énergie, de chaleur ou de combustible"
Anzahl neuer Wohnungen dieser Grösse,"Nombre de logements nouveaux de cette taille,"
Beschreibung der Prozessart Tabelle,description type de phénomène
"Sicherheit und Gesundheit am Arbeitsplatz: Werden nach der Bauabnahme gesundheitsschädliche, giftige, brandgefährliche oder explosive Stoffe gelagert oder verwendet?","Sécurité et santé au travail: est-ce que des substances nocives, toxiques, inflammables ou explosives sont entreposées ou utilisées après la réception des travaux?"
Spitäler,Hopitaux
Weitere Vorhaben,autres projets
Rechtliche Sicherung fremden Bodens?,Garantie juridique de terrain d’autrui
Gas- und dampfförmige Stoffe,Substances sous forme de gaz ou de vapeur
Einverständniserklärung Rodung / Aufforstung,Déclaration de consentement défrichement / reboisement
Decken,Plafonds
Schallpegelangaben,indication du niveau sonore
Wände,parois
Autoabstellplätze für Fahrzeuge oder Fahrradabstellplätze?,Places de stationnement pour voitures ou cycles?
"Gewässerschutz: Werden neu wassergefährdende, explosive, gesundheitsgefährdende oder brennbare Stoffe gelagert oder verwendet?","Protection des eaux : de nouvelles substances pouvant polluer les eaux, explosives, nocives ou inflammables sont-elles stockées ou utilisées ?"
Beherbergungsangebot,Hébergement
"Der/die Gesuchsteller/in bestätigt, dass die Liegenschaftsentwässerung gemäss dem AWA-Merkblatt ""Entwässerung von Industrie- und Gewerbeliegenschaften"" geplant und realisiert werden. Als Beilage enthält das Gesuch einen Umgebungsplan, auf dem bei allen Teilfächen die vorgesehene Nutzung, die Befestigungsart, das Gefälle sowie die Entwässerungsart eingetragen sind.","Le/la requérant/e atteste que l'évacuation des eaux du bien-fonds est planifiée conformément au mémento «Evacuation des eaux des biens-fonds industriels ou artisanaux» de l’OED. La demande comporte en annexe un plan des environs qui mentionne, pour toutes les parties de la (des) parcelle(s), l’affectation prévue, le type de stabilisation du sol, la pente ainsi que le type d’évacuation des eaux."
Wohnungskategorie,catégorie de logements
"Der/die Gesuchsteller/in ist verantwortlich für die Einhaltung der Asbestvorgaben des Bundes (Chemikalien-Risikoreduktions-Verordnung, ChemRRV).",Le/la requérant/e est responsable du respect des prescriptions relatives à l'amiante de l'ordonnance fédérale sur la réduction des risques liés aux produits chimiques (ORRChim).
Gebäudeeigentümer/in,Propriétaire immobilier/immobilière
"Tourismus (z.B. Bikestrecke, Spielplätze, Wanderwege)","Tourisme (p. ex. itinéraire VTT, place de jeux, chemin de randonnée pédestre)"
Anzahl bestehender Wohnungen dieser Grösse,"Nombre de logements existants de cette taille,"
6. Dokumente,Documents
Provisorische Klärgrube,Fosse de décantation provisoire
Ist durch das Bauvorhaben Boden betroffen?,Le projet de construction a-t-il un impact sur le sol?
Öffentlichkeit,Ouverture au public
"Gesuch für eine Ausnahmebewilligung mit hydrogeologisches Gutachten und Nachweis, dass die Durchflusskapazität des Grundwassers gegenüber dem unbeinflussten Zustand um höchstens 10% vemindert wird.",Demande de dérogation accompagnée d'une expertise hydrogéologique et de la preuve que la capacité d’écoulement des eaux souterraines est réduite de 10 % au plus par rapport à l’état non influencé par les installations en question.
Gebäudeeigentümer/in Tabelle,Propriétaire immobilier/immobilière
Art der Emmission Tabelle,Nature des émissions
Abschluss (SB2),clôture (DC2)
Vereinfachtes Berechnungsverfahren einfache Anlagen,Méthode de calcul simplifiée pour installations simples
Handelt es sich um ein landwirtschaftliches Bauvorhaben mit Ableitung (Abwasser aus Wohn- und/oder Ökonomieanteil) in eine Güllegrube?,S'agit-il d'un projet de construction agricole prévoyant le déversement d'eaux usées (du logement et/ou du rural) dans une fosse à purin?
SB2,DC2
System der Fundation,système de fondation
Selbstdeklaration (SB1),Déclaration spontanée (DC1)
Überbauung in %,Occupation du sol en %
Wird Kühlwasser im Betrieb verwendet?,Est-ce que l'exploitaion utilise l'eau de refroidissement?
Lagerung fester Brennstoffe 5m³,stockage de combustibles solides 5m³
Höchstmöglicher Grundwasserspiegel (HW),Niveau maximum de la nappe
Ausschankräume Tabelle,Locaux de débit
"Der/die Gesuchsteller/in verzichtet für sich und seine/ihre Rechtsnachfolger ausdrücklich auf jeden Ersatz von Schaden, der durch den Forstbetrieb oder durch Naturereignisse, wie Schneedruck, Windfall usw. an der zu erstellenden Baute, bzw. ähnlichen Anlage verursacht werden könnte. Vorbehalten bleiben jedoch die Bestimmungen der Art. 41 ff. OR.","Le maître d'ouvrage renonce expressément, pour lui-même et ses ayants cause, à toute indemnité pour des dégâts qui pourraient être provoqués par l'exploitation forestière ou par un phénomène naturel, tels que glissement de neige, coups de vent, etc., aux bâtiments ou installations analogues à construire. Les prescriptions des articles 41 ss CO sont réservées."
bis 2000kg brennbare Flüssigkeit,Jusqu'à 2000 kg de liquides inflammables
Bisherige Nutzung,Utilisation actuelle
Dach,Toiture
Personalien Tabelle,Données personnelles
Baubewilligung von Um- und Ausbauprojekten,Permis de construire concernant des projets de transformation
Kleintank Tabelle,Petit réservoir
Der/die Gesuchsteller/in ist verantwortlich für die Einhaltung der Radonvorgaben gemäss Strahlenschutzverordnung des Bundes.,Le/la requérant/e est responsable du respect des prescriptions relatives au radon au sens de l’ordonnance fédérale sur la radioprotection.
Mittlerer Grundwasserspiegel (MW) (m ü. M.),Niveau moyen de la nappe (m s. m.)
Der/die Gesuchsteller/in bestätigt mit seiner/ihrer Unterschrift die Generalvollmacht an Bevollmächtigte.,Le/la requérant/e confirme pas sa signature le mandat général accordé à son/sa représentant/e.
Parzelle,parcelle
Durchgeführte Vorabklärungen Tabelle,Etudes préalables réalisées
S2/Sh,S2/Sh
Eigentümer Tabelle,Propriétaire
Verkehrintensives Vorhaben,Projet générant une importante fréquentation
S3/Sm,S3/Sm
eBau Nummer,numéro eBau
Technische Angaben zur Erdwärmesonde,données techniques concernant les sondes thermiques
Die Bauprofile sind gemäss Art. 16 BewD gestellt.,Les gabarits sont posés conformément à l'article 16 DPC. 
EFH,MI (maison individuelle)
"Es erfolgen Änderungen an Dachflächen, Zufahrten, Plätzen, PW-Parkplätzen?","Est-il prévu d'apporter des changements aux surfaces des toitures, voies d'accès, places et places de stationnement pour véhicules?"
Grundeigentümer/in Tabelle,Propriétaire foncier/foncière
Öl- oder Gasfeuerungen mit einer Feuerungswärmeleistung ≥ 350 kW,Installations de combustion d’une puissance calorique ? 350 kW (gaz ou mazout)
Unbekannte Nutzung,affectation inconnue
Beschreibung Tiefenfundation,Description des Fondations profondes
Personalien - Gebäudeeigentümer/in,Données personnelles - Propriétaire immobilier/immobilière
Dämmschichtbildende Systeme,systèmes formant une couche isolante
"Pellet-, Späne- oder Schnitzelfeuerungsanlage",Installations de chauffage au bois (copeaux ou pellets)
Überschwemmung,Inondation
Öffnungszeit,Heures d'ouverture
Form,Forme
Total,Totale
Mehrkammertanks Tabelle,Citerne à plusieurs compartiments
Grundeigentümer/in,Propriétaire foncier/foncière
Weitere,Autres
4. Bauwerk,4. Ouvrage
Fischhaltung,Installation de pisciculture
Mensch und Umwelt gefährdende Stoffe,substances dangereuses pour l'homme et l'environnement
Gebäude geringer Abmessung,Bâtiment/s de dimensions réduites
Übersichtsplan 1:25'000,Plan d'ensemble 1:25'000
Hoher Anteil an Brandschutzmassnahmen,Nombre élevé de mesures de protection contre l'incendie prises sur les plans technique 
Gesamte beanspruchte Fläche mit Ober-/Unterboden 5000 m²?,Total de la surface utilisée (couches supérieure et sous-jacente) > 5000 m²?
Lagerung von Stoffen Tabelle,Stockage de substances
SB1,DC1 
Brennbare Gase über 1000 kg,Gaz inflammables (supérieur à 1000 kg)
Für den Transport und das Verpacken von Materialien,Pour le transport et le conditionnement de matériaux 
Öffnungszeiten,Heures d'ouverture
Sendeanlage,Station émettrice
Öffnungszeiten Tabelle,Heures d'ouverture
Laden Tabelle,Déposer
Für die industrielle / gewerbliche Erzeugung von Lebens- oder Futtermittel,Pour la production industrielle / artisanale de denrées alimentaires et d'aliments pour animaux
Allgemeine Hinweise,remarques générales
Parzellennummer,n° de parcelle
Gesamte beanspruchte Fläche mit Ober-/Unterboden 2000 m²?,Total de la surface utilisée (couches supérieure et sous-jacente) > 2000 m²?
Weitere Angaben bei Regeneration der EWS,informations supplémentaires concernant régénération des sondes thermiques
Lagekoordinaten - Nord,Coordonnées planimétriques - nord
Andere Wärmeträger (nur in Absprache mit AWA),autres caloporteurs (en accord avec OED)
"Aussenraum (Strassen, Trottoirs)","Aménagement / réfection d'espaces extérieurs (route, chemin piétonnier, trottoir, arrêt de bus, etc.)"
Wohnungsgrösse (Anzahl Zimmer),Dimensions du logement (Nombre de pièces)
Räume mit grosser Personenbelegung (über 300 Personen),Locaux pouvant accueillir un grand nombre de personnes (plus de 300 personnes)
Mehrkammertanks,Citerne à plusieurs compartiments
Abschluss,Graduation
Dokumente Platzhalter,Documents Placeholder
Behörde,Organisme gouvernemental
Autor/in,Créateur/Créatrice
Einreichen (NFD),Soumettre (NFD)
Frist,Terme
Dokumente (NFD),Documents (NFD)
Erledigt,réglé
Nachforderungen (NFD),Demandes supplémentaires (NFD)
Nachforderungen Tabelle (NFD),Demandes supplémentaires tableau (NFD)
Datum Anfrage,Date de la demande
