anlage-prozess-galvanisieranlage,Galvanisieranlage,Linea di zincatura
anlage-prozess-giessenschmelzen-spritzguss,"Giessen/Schmelzen, Spritzguss","Colare/fondere, stampaggio a iniezione"
anlage-prozess-haerteanlage,Härteanlage,Impianto di tempra
anlage-prozess-klebeanlage,Klebeanlage,Sistema di incollaggio
anlage-prozess-labor,Labor,Laboratorio
anlage-prozess-manuelle-reinigung,Manuelle Reinigung,Pulizia manuale
anlage-prozess-misch-abfuellanlage,"Misch-, Abfüllanlage",Impianto di miscelazione/di imbottigliamento
anlage-prozess-parkierungsanlage,Parkierungsanlage (>150 PP),Impianto di parcheggio (>150 posti)
anlage-prozess-raeucheranlage,Räucheranlage,Impianto di affumicatura
anlage-prozess-reinigungs-entfettungsanlage,Reinigungs-/Entfettungsanlage,Impianto di pulizia/sgrassaggio
anlage-prozess-roestanlage,Röstanlage,Sistema di tostatura
anlage-prozess-schleifanlage,Schleifanlage,Impianto di levigatura
anlage-prozess-schweissanlage,Schweissanlage,Impianto di saldatura
anlage-prozess-strahlanlage,Strahlanlage,Impianto di granigliatura
anlage-prozess-trocknungsanlage,Trocknungsanlage,Impianto di essiccazione
anlage-prozess-trocknungs-einbrennanlage,Trocknungs-/Einbrennanlage,Impianto di essiccazione/di cottura
anlage-prozess-waermebehandlungsofen,Wärmebehandlungsofen,Impianto di trattamento termico
anlage-prozess-weitere-anlagen-oder-prozesse,Weitere Anlagen oder Prozesse,Altri impianti o processi
anlage-ragt-nicht-ueber-dachflaeche-hinaus-ja,Ja,sì
anlage-ragt-nicht-ueber-dachflaeche-hinaus-nein,Nein,no
anlagetyp-allgemeine-lueftungsanlage,Allgemeine Lüftungsanlage,Impianti di ventilazione in generale
anlagetyp-andere,Andere,Altro
anlagetyp-gewerbliche-kueche,Gewerbliche Küche,Cucina commerciale
anlagetyp-kontrollierte-raumlufterneuerung,Kontrollierte Raumlufterneuerung,Rinnovo controllato dell'aria ambiente
antrag-ausnahme-solarpflicht-technisch,Sie ist technisch nicht möglich,Tecnicamente impossibile
antrag-ausnahme-solarpflicht-vorschriften,Sie widerspricht öffentlich-rechtlichen Vorschriften,Non conforme alle prescrizioni di diritto pubblico
antrag-ausnahme-solarpflicht-wirtschaftlich,Sie ist wirtschaftlich unverhältnismässig,Sproporzionato dal punto di vista economico
antrag-ausnahme-solarpflicht-zev,Beteiligung an einem Zusammenschluss zum Eigenverbrauch ZEV gemäss Energiegesetz Bund,Partecipazione a un raggruppamento ai fini del consumo proprio RCP conformemente alla legge federale sull'energia
anzahl-starts-auf-display-holzfeuerung-ja,Ja,sì
anzahl-starts-auf-display-holzfeuerung-nein,Nein,no
anzahl-starts-auf-display-ja,Ja,sì
anzahl-starts-auf-display-nein,Nein,no
anzahl-starts-auf-display-rauchgasbehandlung-ja,Ja,sì
anzahl-starts-auf-display-rauchgasbehandlung-nein,Nein,no
art-der-abfallanlage-andere,Andere,Altro
art-der-abfallanlage-aufbereitungsanlage,Aufbereitungsanlage,Impianto di pretrattamento
art-der-abfallanlage-kompostierungsanlage,Kompostierungsanlage,Impianto di compostaggio
art-der-abfallanlage-recyclinganlage,Recyclinganlage,Impianto di riciclaggio
art-der-abfallanlage-sammelstelle,Sammelstelle,Centro di raccolta
art-der-abfallanlage-thermische-behandlungsanlage,Thermische Behandlungsanlage,Impianto di trattamento termico
art-der-abfallanlage-vergaerungsanlage,Vergärungsanlage,Impianto di metanizzazione
art-der-abfallanlage-zwischenlager,Zwischenlager,Deposito intermedio
art-der-anlage-andere,Andere,Altro
art-der-anlage-behaelter-kleingebinde,Kleingebinde,Fusti piccoli
art-der-anlage-behaelter-kunstsoff-kleintank,Kunstsoff (Kleintank),Sintetico (piccolo serbatoio)
art-der-anlage-behaelter-kunststoff-gfk,Kunststoff (GFK),Sintetico (GFK)
art-der-anlage-behaelter-stahltank,Stahltank,Serbatoio in acciaio
art-der-anlage-behaelter-transportflaschen,Transportflaschen,Bombole per trasporto
art-der-anlage-gebinde,Gebinde (bis 450 l),Contenitore (fino a 450 l)
art-der-anlage-grosstank,Grosstank (>250'000 l),Grande serbatoio (>250'000 l)
art-der-anlage-kleintank,Kleintank (451-2’000 l),Piccolo serbatoio (451-2'000 l)
art-der-anlage-kleintank-batterie,Kleintank - Batterie,Gruppo di piccoli serbatoi
art-der-anlage-mittelgrosser-tank,mittelgrosser Tank (>2'000 l),Serbatoio di media capienza (>2'000 l)
art-der-anlage-mobile-anlage,Mobile Anlage (z.B. Bauprovisorium),Impianto mobile (ad es. installazione provvisoria di cantiere)
art-der-anlage-mobiltank,Mobiltank (Baustellentank),Serbatoio mobile (serbatoio da cantiere)
art-der-anlage-rohrleitung,Rohrleitung,Condotta
art-der-anlage-stationaere-anlage,Stationäre Anlage,Impianto stazionario
art-der-anlage-umschlagplatz,Umschlagplatz,Piazza di trasbordo
art-der-automatischen-waschanlage-lkw,LKW,Autocarro
art-der-automatischen-waschanlage-pw,PW,Automobile
art-der-einzelfeuerung-anderes,Anderes,Altro
art-der-einzelfeuerung-durchlauferhitzer,Durchlauferhitzer,Scaldabagno
art-der-einzelfeuerung-gascheminee,Gascheminée,Caminetto a gas
art-der-einzelfeuerung-heizstrahler,Heizstrahler,Stufa elettrica
art-der-einzelfeuerung-kochherd,Kochherd,Fornelli
art-der-entfernung-hecken-oder-feldgehoelze,Hecken oder Feldgehölze,Siepi o boschetti campestri
art-der-entfernung-ufervegetation,Ufervegetation,Vegetazione ripuale
art-der-entwaesserung-abflusslos,abflusslos,senza scarico
art-der-entwaesserung-direkt-in-gewaesser,direkt in Gewässer,direttamente nelle acque
art-der-entwaesserung-ueber-kanalisation,über Kanalisation in ARA,nell'IDA attraverso la canalizzazione
art-der-festen-brennstoffe-andere,Andere,Altro
art-der-festen-brennstoffe-pelletsfeuerung,Pellets,Granulati pellet
art-der-festen-brennstoffe-schnitzelfeuerung,Schnitzel,Cippato
art-der-festen-brennstoffe-spaene,Späne,Trucioli
art-der-festen-brennstoffe-stueckholz,Stückholz,Ceppi di legna
art-der-installation-absetzkammer,Absetzkammer (Beruhigungszone),Bacino di decantazione (zona di stabilizzazione)
art-der-installation-andere,Andere,Altro
art-der-installation-elektrofilter,Elektrofilter,Elettrofiltro
art-der-installation-entschwadungseinrichtung,Entschwadungseinrichtung,Dispositivo di dispersione del vapore
art-der-installation-entstickungseinrichtung,Entstickungseinrichtung,Dispositivo di denitrificazione
art-der-installation-gewerbefilter,Gewerbefilter,Filtro commerciale
art-der-installation-rekuperator,Rekuperator,Recuperatore
art-der-installation-waescher,Wäscher,Gorgogliatore di lavaggio
art-der-installation-zyklonabscheider,Zyklonabscheider,Filtro a ciclone
art-der-karosserie-nutzfahrzeuge,Nutzfahrzeuge,Veicoli commerciali
art-der-karosserie-pw,PW,Automobile
art-der-massnahme-anfahrschutz,Anfahrschutz,Protezione antiurto
art-der-massnahme-einfriedung,Einfriedung,Recinzione
art-der-massnahme-gegen-ausbreitung-fluessiggas-entlastungsrohr,Entlastungsrohr,Tubo di sfogo
art-der-massnahme-gegen-ausbreitung-fluessiggas-gasdichter-domdeckel,gasdichter Domdeckel,Coperchio-chiusino ermetico ai gas
art-der-massnahme-gegen-ausbreitung-fluessiggas-gefaelle,≥ 2 % Gefälle,≥ 2% pendenza
art-der-massnahme-gegen-waermeeinwirkung-erdverlegt,Erdverlegt,Posa interrata
art-der-massnahme-gegen-waermeeinwirkung-schirmmauer,Schirmmauer,Muro di protezione
art-der-massnahme-ueberfahrschutz,Überfahrschutz,Protezione anti schiacciamento
art-der-reklamebaute-aenderung-reklamebaute,Änderung einer bestehenden Reklamebaute,Modifica di un dispositivo pubblicitario esistente
art-der-reklamebaute-neue-reklamebaute,Neu,Nuovo
art-der-solaranlage-gemischt,Gemischt PV / thermisch,Misto fotovoltaico/termico
art-der-solaranlage-photovoltaikanlage,Photovoltaikanlage,Impianto fotovoltaico
art-der-solaranlage-thermische-anlage,Thermische Anlage,Impianto termico
art-der-sondierung-baggerschlitz,Baggerschlitz,Trincea tramite escavatore
art-der-sondierung-brunnenbohrung,Brunnenbohrung,Trivellazione di pozzo
art-der-sondierung-sondierbohrung,Sondierbohrung,Trivellazione di sondaggio
art-der-waermepumpe-erdregister,Wärmepumpenanlage mit Erdregister,Pompa termica con scambiatore geotermico
art-der-waermepumpe-erdsonde,Wärmepumpenanlage mit Erdsonde,Pompa di calore con sonda geotermica
art-der-waermepumpe-luft-wasser,Luft-/Wasser Wärmepumpe,Pompa di calore aria/acqua
art-der-waermepumpe-nutzung-der-wasserwaerme,Wärmepumpenanlage mit Nutzung der Wasserwärme,Pompa di calore con sfruttamento del calore dell'acqua
art-der-waermequelle-abwasser,Abwasser,Acque di scarico
art-der-waermequelle-andere,Andere,Altro
art-der-waermequelle-grundwasser,Grundwasser,Acque sotterranee
art-der-waermequelle-oberflaechengewaesser,Oberflächengewässer,Acque di superficie
art-der-waermequelle-quellwasser,Quellwasser,Acqua di sorgente
art-der-zentralheizung-andere,Andere,Altro
art-der-zentralheizung-erdgas,Erdgas,Gas naturale
art-der-zentralheizung-feste-brennstoffe,Feste Brennstoffe,Combustibili solidi
art-der-zentralheizung-fluessiggas,Flüssiggas,Gas liquefatto
art-der-zentralheizung-oelfeuerung,Ölfeuerung,Impianto a combustione alimentato con olio
art-des-betriebs-baugewerbe,Baugewerbe,Edilizia
art-des-betriebs-brandschutz-andere,Andere,Altro
art-des-betriebs-garage,Garage,Autofficina
art-des-betriebs-karosseriebetrieb,Karosseriebetrieb,Azienda di carrozzeria
art-des-betriebs-kies-und-sandabbaubetrieb,Kies- und Sandabbaubetrieb,Azienda per l'estrazione di ghiaia e sabbia
art-des-betriebs-malerei,Malerei,Azienda di pittura
art-des-betriebs-spritzwerk,Spritzwerk,Officina per la verniciatura a spruzzo
art-des-betriebs-transportbetrieb,Transportbetrieb,Azienda di trasporti
art-des-betriebs-werkhof,Werkhof,Centro di manutenzione
art-des-bypassbetriebs-andere,Andere,Altro
art-des-bypassbetriebs-entschwadungseinrichtung,Entschwadungseinrichtung,Dispositivo di dispersione del vapore
art-des-bypassbetriebs-entstickungseinrichtung,Entstickungseinrichtung,Dispositivo di denitrificazione
art-des-bypassbetriebs-rekuperator,Rekuperator,Recuperatore
art-des-gebaeude-andere,Andere,Altro
art-des-gebaeude-bauten-und-anlagen-mit-raeumen-mit-grosser-personenbelegung,"Bauten und Anlagen mit Räumen mit grosser Personenbelegung (z.B. Schulhäuser, Mehrzweck-, Sport- und Ausstellungshallen, Bahnstationen, Theater, Kinos, Restaurants und ähnliche Versammlungsstätten)","Edifici e impianti con spazi a elevata frequentazione (ad es. edifici scolastici, sale multiuso, sportive e d'esposizione, stazioni ferroviarie, teatri, cinema, ristoranti e strutture di ritrovo simili)"
art-des-gebaeude-beherbergungsbetriebe,"Beherbergungsbetriebe (z.B. Hotel, B&B, Garni, touristisch bewirtschaftetes Wohnen, Heime, Anstalten, Krankenhäuser mit folgender Anzahl Gäste, Insassen oder Patienten)","Esercizi ricettivi (ad es. alberghi, B&B, garni, alloggi a gestione turistica, istituti, penitenziari, ospedali con seguente numero di ospiti, detenuti o pazienti)"
art-des-gebaeude-einfamilienhaus,Einfamilienhaus,Casa unifamiliare
art-des-gebaeude-gebaeude-geringer-abmessungen,Gebäude geringer Abmessungen (gem. VKF-Brandschutznorm Art. 13 Abs. 3d),Fabbricati di piccole dimensioni (conf. art. 13 cpv. 3d norma di protezione antincendio AICAA)
art-des-gebaeude-landwirtschaftliche-bauten,Landwirtschaftliche Bauten,Edifici rurali
art-des-gebaeude-mehrfamilienhaus,Mehrfamilienhaus,Casa plurifamiliare
art-des-gebaeude-parkings,Parkings,Parcheggi
art-des-gebaeude-verkaufsgeschaefte,Verkaufsgeschäfte,Negozi
art-des-gewaessers-andere,Andere,Altro
art-des-gewaessers-bach,Bach,Ruscello
art-des-gewaessers-fluss,Fluss,Fiume
art-des-gewaessers-see,See,Lago
art-des-gewaessers-wasserentnahme-fliessgewaesser,Fliessgewässer,Corso d'acqua
art-des-gewaessers-wasserentnahme-stehendes-gewaesser,Stehendes Gewässer,Acque stagnanti
art-des-parkings-nicht-oeffentlich,Nicht öffentlich,Non pubblico
art-des-parkings-oeffentlich,Öffentlich,Pubblico
art-des-saegemehls-lose,Lose,In forma sciolta
art-des-saegemehls-presslinge,Presslinge,Bricchetti da ardere
art-des-umschlageplatz-betankungsplatz,Betankungsplatz,Punto di rifornimento
art-des-umschlageplatz-gebindeabfuellstelle,Gebindeabfüllstelle,Punto di riempimento del contenitore
art-des-umschlageplatz-gueterumschlag,Güterumschlag,Piazza di trasbordo
art-gewaesserschutzbereich-au,Aᵤ,Settori di protezione delle acque Aᵤ
art-gewaesserschutzbereich-nicht-betroffen,Nicht betroffen,Non interessato
art-gewaesserschutzbereich-ueb,üB,Territorio rimanente üB
art-und-menge-des-abwassers-andere,Andere,Altro
art-und-menge-des-abwassers-automatische-waschanlage,Automatische Waschanlage,Lavaggio automatico automobili
art-und-menge-des-abwassers-karosseriereinigungen,Karosseriereinigungen,Pulizia di carrozzerie
art-und-menge-des-abwassers-maschinenreinigungen,Maschinenreinigungen (z.B. Bau- oder 	Landmaschinen),Pulizia di macchinari (ad es. macchine edili o agricole)
art-und-menge-des-abwassers-motoren-und-chassisreinigungen,Motoren- und Chassisreinigungen,Pulizia di motori e telai
art-und-menge-des-abwassers-nassschleifen,Nassschleifen,Levigatura ad acqua
art-und-menge-des-abwassers-reinigung-von-malerwerkzeugen,"Reinigung von Malerwerkzeugen (Pinsel, Roller)","Pulizia di strumenti da pittore (pennelli, rulli)"
art-und-menge-des-abwassers-steinverarbeitung,Steinverarbeitung,Lavorazione di pietre
art-und-menge-des-abwassers-werkstattbodenreinigung-mit-hochdruck-heisswasser-mit-reinigungsmittel,Werkstattbodenreinigung mit Hochdruck / Heisswasser mit Reinigungsmittel,Pulizia di pavimenti di officina con alta pressione/acqua calda con detergenti
art-und-menge-des-abwassers-werkstattbodenreinigung-mit-kaltwasser-ohne-reinigungsmittel,Werkstattbodenreinigung mit Kaltwasser ohne Reinigungsmittel,Pulizia di pavimenti di officina con acqua fredda senza detergenti
aufstellung-im-freien-ja,Ja,sì
aufstellung-im-freien-nein,Nein,no
ausbildungsnachweis-ja,Ausbildungsnachweis,Attestato di formazione
ausbildungsnachweis-vorhanden-ja,Ja,sì
ausbildungsnachweis-vorhanden-nein,Nein,no
ausfuehrungsart-auffangwanne,Auffangwanne (100%),Vasca di ritenzione (100%)
ausfuehrungsart-der-produkteleitung-doppelwandig-ueberwacht,doppelwandig überwacht,doppia parete sorvegliato
ausfuehrungsart-der-produkteleitung-eigensicher,eigensicher,sicurezza intrinseca
ausfuehrungsart-der-produkteleitung-visuell-kontrollierbar,visuell kontrollierbar,controllo visivo possibile
ausfuehrungsart-der-produkteleitung-visuell-kontrollierbar-schutzrohren,visuell kontrollierbar und in Schutzrohren,controllo visivo e in condotte di protezione
ausfuehrungsart-doppelwandig-aussen,doppelwandig aussen,doppia parete esterna
ausfuehrungsart-doppelwandig-innen,doppelwandig innen (Innenhülle),doppia parete interna (involucro interno)
ausfuehrungsart-einzelne-auffangwanne,einzelne Auffangwanne,vasca di ritenzione singola
aussenwaende-anderes,Anderes,Altro
aussenwaende-holzbau,Holzbau,Costruzione in legno
aussenwaende-mauerwerk,Mauerwerk/Beton,Muratura/calcestruzzo
ausserhalb-bauzone-bauvorhaben-ausserhalb-bauzone-ja,Ja,sì
ausserhalb-bauzone-bauvorhaben-ausserhalb-bauzone-nein,Nein,no
ausserhalb-bauzone-ja,Ja,sì
ausserhalb-bauzone-nein,Nein,no
b1,B1,B1
b2,B2,B2
bauabhnahme-durchgefuehrt-ja,Ja,sì
bauabhnahme-durchgefuehrt-nein,Nein,no
bauabnahme-abgeschlossen-ja,Ja,sì
bauabnahme-abgeschlossen-nein,Nein,no
beschreibung-der-anlagen-waermepumpen,Wärmepumpen,Pompe di calore
bauanzeige-bauvorhaben-betrifft-neubau-anbau,Neubau / Anbau / Umbau / Ausbau / Umnutzung von Gebäude oder Gebäudeteilen,Nuova costruzione / costruzione annessa / trasformazione / ampliamento / destinazione ad altro scopo di edifici o parti di essi
bauanzeige-bauvorhaben-betrifft-neubau-ausbau,Neubau / Ausbau / Umbau von haustechnischen (wärmetechnischen) Anlagen,Nuova costruzione / ampliamento / trasformazione di impiantistica (termica)
bauanzeige-haustechnische-anlagen-brandschutz-ja,Ja,sì
bauanzeige-haustechnische-anlagen-brandschutz-nein,Nein,no
bauart-angebaut,Angebaut,Annesso
bauart-freistehend,Freistehend,Isolato
baugespann-ja,Ja,sì
baugespann-nein,Nein,no
bauliche-veraenderungen-abgasanlage-ja,Ja,sì
bauliche-veraenderungen-abgasanlage-nein,Nein,no
bauliche-veraenderungen-aufstellungsraum-ja,Ja,sì
bauliche-veraenderungen-aufstellungsraum-nein,Nein,no
bauliche-veraenderungen-brennstofflagerung-ja,Ja,sì
bauliche-veraenderungen-brennstofflagerung-nein,Nein,no
baute-oder-anlage-anlage,Anlage,Impianto
baute-oder-anlage-baute,Baute,Edificio
baute-oder-anlage-beides,Beides,Entrambi
bau-und-werkstoff-dichter-beton,dichter Beton (SIA 162),Calcestruzzo stagno (SIA 162)
bau-und-werkstoff-mauerwerk,"Mauerwerk, statisch genügend mit Auskleidung","Muratura, statica sufficiente con rivestimento"
bau-und-werkstoff-stahl,Stahl,Acciaio
bauvorhaben-feuerpolizeilich-bewilligungspflichtig-ja,Ja,sì
bauvorhaben-feuerpolizeilich-bewilligungspflichtig-nein,Nein,no
bauvorhaben-mit-gewerbenutzung-landwirtschaftlichem-gewerbe-ja,Ja,sì
bauvorhaben-mit-gewerbenutzung-landwirtschaftlichem-gewerbe-nein,Nein,no
bedachung-brennbar,Brennbar,infiammabile
bedachung-nicht-brennbar,Nicht brennbar,non infiammabile
beleuchtung-ja,Ja,sì
beleuchtung-nein,Nein,no
bericht-zur-umweltvertraeglichkeitspruefung-uvp-ja,Bericht zur Umweltverträglichkeitsprüfung (UVP),Rapporto relativo all'esame dell'impatto sull'ambiente (EIA)
berieselungsanlage-ja,Ja (Leistung über 3 Liter pro Minute per m²),Sì (portata superiore a 3 litri al minuto/m²)
berieselungsanlage-nein,Nein,no
beschreibung-der-anlagen-gewaesser,"Gewässer (stehend, fliessend, eingedolt)","Acque (stagnanti, fluenti, in galleria)"
beschreibung-der-anlagen-solaranlagen,Solartechnische Anlagen,Impianti solari
beschreibung-der-anlagen-terrainveraenderung,Terrainveränderung (> 200m² / > 50m³),Modifica del terreno (> 200 m² / > 50 m³)
beschreibung-der-anlagen-untergrund,Wärmepumpen mit Wärmeentzug aus dem Untergrund (Sonde / Register / Wasser),Pompe di calore con recupero del calore dal sottosuolo (sonda / scambiatore geotermico / acqua)
beschreibung-der-anlagen-verkehrsanlagen,"Verkehrsanlagen (Trottoire, Haltestellen)","Impianti per il traffico (marciapiedi, fermate)"
beschreibung-der-landwirtschaftlichen-bauten-gewerbebauten,Gewerbebauten,Edifici commerciali
beschreibung-der-landwirtschaftlichen-bauten-oekonomiebaute,Ökonomiebaute,Edificio a scopo di sfruttamento agricolo
beschreibung-der-landwirtschaftlichen-bauten-wohnhaus,Wohnhaus,Casa d'abitazione
beschreibung-der-nutzung-abfallanlage,Abfallanlage,Impianto per i rifiuti
beschreibung-der-nutzung-arbeitsplaetze,Arbeitsplätze,Posti di lavoro
beschreibung-der-nutzung-industrie-und-gewerbeabwasser,Industrie- und Gewerbeabwasser,Acque di scarico industriali e artigianali
beschreibung-der-nutzung-lageranlage,Lageranlage,Impianto di deposito
beschreibung-der-nutzung-materialgewinnung,Materialgewinnung,Estrazione di materiali
beschreibung-der-wohnnutzung-beherbergung-oeffentliche-bauten,Beherbergung / öffentliche Bauten,Esercizio ricettivo / edifici pubblici
beschreibung-der-wohnnutzung-mehr-als-vier-wohneinheiten,mehr als vier Wohneinheiten,Più di quattro unità abitative
beschreibung-der-wohnnutzung-wohn-oder-ferienhaus-spital-heim,"Wohn- oder Ferienhaus, Spital, Heim","Casa di abitazione o di vacanza, ospedale, casa di cura"
beschreibung-grossviehstall-andere,Andere,Altro
beschreibung-grossviehstall-pferdestall,Pferdestall,stalla per cavalli
beschreibung-grossviehstall-rinderstall,Rinderstall,stalla per bovini
beschreibung-kantonsstrassen-leitungen,Leitungen in und über Kantonsstrasse,Condotte nella e sopra la strada cantonale
beschreibung-kantonsstrassen-naeherbauten,"Näherbauten, Zufahrten, Parkplätze, usw.","Costruzioni a distanze ridotte, accessi carrabili, parcheggi, ecc."
beschreibung-kantonsstrassen-strassenreklamen,Strassenreklamen,Pubblicità stradali
beschreibung-kleinviehstall-andere,Andere,Altro
beschreibung-kleinviehstall-gefluegelstall,Geflügelstall,pollaio
beschreibung-kleinviehstall-schafstall,Schafstall,stalla per ovini
beschreibung-kleinviehstall-schweinestall,Schweinestall,stalla per suini
beschreibung-kleinviehstall-ziegenstall,Ziegenstall,stalla per caprini
beschreibung-wasserversorgung-fassung-vorgesehen-brunnen,Brunnen,fontana
beschreibung-wasserversorgung-fassung-vorgesehen-oeffentliche-wasserversorgung,öffentliche Wasserversorgung,approvvigionamento idrico pubblico
beschreibung-wasserversorgung-fassung-vorgesehen-quellfassung,Quellfassung,Captazione di sorgente
beschreibung-wasserversorgung-vorhanden-bach,Bach,Ruscello
beschreibung-wasserversorgung-vorhanden-brunnen,Brunnen,fontana
beschreibung-wasserversorgung-vorhanden-oeffentliche-wasserversorgung,öffentliche Wasserversorgung,approvvigionamento idrico pubblico
beschreibung-wasserversorgung-vorhanden-quelle,Quelle,Fonte
besitzverhaeltnis-eigentum,Eigentum,Proprietà
besitzverhaeltnis-miete,Miete,Locazione
besondere-bedingungen-abbruch-rueckbau-aufbereitung,Abbruch / Rückbau / Aufbereitung,Demolizione/smantellamento/trattamento
besondere-bedingungen-archaeologie,Objekt Archäologie und Denkmalpflege,Oggetto archeologia e conservazione dei monumenti storici
besondere-bedingungen-belasteter-standort,belasteter Standort (Kbs),Sito inquinato (CSIN)
besondere-bedingungen-emissionen,Emissionen (Gewerbe / Feuerung / > 150 Parkplätze),Emissioni (artigianato / impianto di combustione / >150 parcheggi)
besondere-bedingungen-entfernung-ufervegetation-hecken,Entfernung Ufervegetation / Hecken / Feldgehölze,Rimozione di vegetazione riparia / siepi / boschetti campestri
besondere-bedingungen-gewaesserschutzbereich,Gewässerschutzbereich,Settore di protezione delle acque
besondere-bedingungen-laermbelastetes-gebiet,"Lärmbelastetes Gebiet (Strasse, Bahn)","Zona esposta ai rumori (strada, ferrovia)"
besondere-bedingungen-naturgefahren,Gefahrenzonen,Zone di pericolo
besondere-bedingungen-uvp-pflichtig,UVP-Pflichtig,Obbligo EIA
