id,label,info_text,placeholder,static_content,hint_text
anlagedaten-bhkw-titel,Anlagedaten Titel,Dati dell'impianto titolo,,#### Anlagedaten,
anlagedatenblatt,Anlagedatenblatt,Scheda tecnica dell'impianto,,,
anlagedatenblatt-titel,Anlagedatenblatt Titel,Scheda tecnica dell'impianto titolo,,### Anlagedatenblatt,
anlagedaten-titel,Anlagedaten Titel,Dati dell'impianto titolo,,#### Anlagedaten,
anlagen-prozesse,Anlagen/Prozesse,Impianti/processi,,,
anlagenprozesse-titel,Anlagen/Prozesse Titel,Impianti/processi titolo,,"---
#### Anlagen/Prozesse",
anlagen-titel,Anlagen Titel,Impianti titolo,,"---
### Anlagen",
anlage-prozess,Art der Anlage / des Prozesses,Tipo di impianto/di processo,,,
anlage-ragt-nicht-ueber-dachflaeche-hinaus,Liegt die Anlage von oben gesehen vollständig innerhalb der Dachfläche?,"Visto dall'alto, l'impianto si trova completamente all'interno della superficie del tetto?",,,
anlagetyp,Anlagetyp,Tipo di impianto,,,
anlagetyp-beschreibung,Beschreibung,Descrizione,,,
antrag-ausnahme-solarpflicht,Die Solaranlage wird aus folgendem Grund nicht realisiert:,L'impianto solare non viene realizzato per il motivo seguente:,,,
anzahl,Anzahl,Numero,,,
anzahl-anlagen,Anzahl,Numero,,,
anzahl-behaelter,Anzahl Behälter,Numero di contenitori,,,
anzahl-beruecksichtigter-nachbarsonden-im-umkreis-von-50-m,Anzahl berücksichtigter Nachbarsonden im Umkreis von 50 m (Stk.),Numero di sonde vicine considerate nel raggio di 50 m (pz.),,,
anzahl-erdwaermesonden,Anzahl Erdwärmesonden inkl. Reserve (Bohrungen) (Stk.),Numero di sonde geotermiche incl. riserva (trivellazioni) (pz.),,,
anzahl-hydranten,Anzahl Hydranten,Numero di idranti,,,
anzahl-kammern,Anzahl Kammern,Numero di camere,,,
anzahl-lkw-waschungen-pro-jahr,Anzahl LKW Waschungen pro Jahr ca.,Numero di lavaggi di autocarri all'anno ca.,,,
anzahl-mitarbeitende,Anzahl Mitarbeitende (Total),Numero collab. (totale),,,
anzahl-mitarbeitende-produktion,Anzahl Mitarbeitende (im Produktionsbereich),Numero collab. (nel settore di produzione),,,
anzahl-module,Anzahl der Module,Numero di moduli,,,
anzahl-personen,Beherbergungsbetriebe: Anzahl beherbergte Personen,Esercizi ricettivi: numero di persone ospitate,,,
anzahl-personen-dauerhaft-im-wohnhaus,Wie viele Personen wohnen dauerhaft im Wohnhaus?,Quante persone vivono in modo permanente nell'abitazione?,,,
anzahl-pw-waschungen-pro-jahr,Anzahl PW Waschungen pro Jahr ca.,Numero di lavaggi di automobili all'anno ca.,,,
art-der-anlage-feuerungsbetrieb,Art der Anlage,Tipo di impianto,,,
anzahl-schutzplaetze-spital,Anzahl Schutzplätze Spital oder Heim,Numero di posti protetti ospedale o casa di cura,,,1 Schutzplatz pro Patientenbett
anzahl-schutzplaetze-wohnhaus,Anzahl Schutzplätze Wohn- oder Ferienhaus,Numero di posti protetti casa di abitazione o di vacanza,,,2 Schutzplätze pro 3 Zimmer
anzahl-seiten-mit-umrandung,Anzahl Seiten mit Umrandung,Numero di lati con bordo,,,
anzahl-sondenbohrungen,Anzahl Sondenbohrungen,Numero di trivellazioni per sonde,,,
anzahl-sondierungen,Anzahl Sondierungen,Numero di sondaggi,,,
anzahl-starts-auf-display,Anzahl Starts auf Display,Numero di accensioni sul display,,,
anzahl-starts-auf-display-holzfeuerung,Anzahl Starts auf Display,Numero di accensioni sul display,,,
anzahl-starts-auf-display-oel-gasfeuerung,Anzahl Starts auf Display,Numero di accensioni sul display,,,
anzahl-starts-auf-display-rauchgasbehandlung,Anzahl Starts auf Display,Numero di accensioni sul display,,,
anzahl-tanksaeulen,Anzahl Tanksäulen,Numero di colonne,,,
anzahl-tanksaeulen-ableitung-der-abgase,Anzahl Tanksäulen,Numero di colonne,,,
anzahl-wohnungen,Mehrfamilienhaus: Anzahl Wohnungen,Casa plurifamiliare: numero di abitazioni,,,
arbeitsauslastung-der-anlage-im-winter,Arbeitsauslastung der Anlage im Winter in % (Anfang Oktober - Ende März),Grado di sfruttamento dell'impianto in inverno in % (inizio ottobre - fine marzo),,,
art-der-abfallanlage,Art der Abfallanlage,Tipo di impianto per i rifiuti,,,
art-der-abluftreinigung,Art der Abluftreinigung,Tipo di depurazione dell'aria di scarico,,,
art-der-anlage,Art der Anlage,Tipo di impianto,,,
art-der-anlage-behaelter,Art der Anlage / Behälter,Tipo di impianto/contenitore,,,
art-der-automatischen-waschanlage,Art der automatischen Waschanlage,Tipo di impianto di lavaggio automatico,,,
art-der-einzelfeuerung,Art der Einzelfeuerung,Tipo di impianto di combustione singolo,,,
art-der-entfernung,Art der Entfernung,Tipo di rimozione,,,
art-der-entwaesserung,Art der Entwässerung,Tipo di smaltimento delle acque,,,
art-der-festen-brennstoffe,Art der festen Brennstoffe,Tipo di combustibili solidi,,,
art-der-installation,Art der Installation,Tipo di installazione,,,
art-der-karosseriereinigungen,Art der Karosseriereinigungen,Tipo di pulizia di carrozzerie,,,
art-der-kontrolle,Art der Kontrolle,Tipo di controllo,,,
art-der-massnahme,Art der Massnahme,Tipo di misura,,,
art-der-massnahme-gegen-ausbreitung-fluessiggas,Art der Massnahme,Tipo di misura,,,
art-der-massnahme-gegen-waermeeinwirkung,Art der Massnahme gegen Wärmeeinwirkung,Tipo di misura contro l'effetto termico,,,
art-der-reklamebaute,Art der Reklamebaute,Tipo di dispositivo pubblicitario,,,
art-der-solaranlage,Art der Solaranlage,Tipo di impianto solare,,,
art-der-sondierung,Art der Sondierung,Tipo di sondaggio,,,
art-der-waermepumpe,Art der Wärmepumpe,Tipo di pompa termica,,,
art-der-waermequelle,Art der Wärmequelle,Tipo di fonte di calore,,,
art-der-zentralheizung,Art der Zentralheizung,Tipo di riscaldamento centrale,,,
art-des-belags,Art des Belags,Tipo di pavimentazione,,,
art-des-betriebs-titel,Art des Betriebs Titel,Tipo di esercizio titolo,,"---
#### Art des Betriebs",
art-des-bypassbetriebs,Art des Bypassbetriebs,Tipo di funzionamento in modalità bypass,,,
art-des-gebaeude,Art des Gebäudes,Tipo di edificio,,,
art-des-gewaessers,Art des Gewässers,Tipo di corpo d'acqua,,,
art-des-gewaessers-wasserentnahme,Art des Gewässers,Tipo di corpo d'acqua,,,
art-des-parkings,Art des Parkings,Tipo di parcheggio,,,
art-des-saegemehls,Art des Sägemehls / der Spähne,Tipo di segatura / trucioli,,,
art-des-umschlageplatz,Art des Umschlageplatz,Tipo di area di trasbordo,,,
artenzusammensetzung,Artenzusammensetzung,Composizione delle specie,,,
art-gewaesserschutzbereich,Gewässerschutzbereich,Settore di protezione delle acque,,,
art-und-menge-des-abwassers,Angaben über Art und Menge des Abwassers,Indicazioni relative al tipo e alla quantità di acque di scarico,,,
art-und-menge-des-abwassers-titel,Art und Menge des Abwassers Titel,Tipo e quantità di acque di scarico titolo,,"---
#### Angaben über Art und Menge des Abwassers",
aufbereitungsdatum-bis,Aufbereitungsdatum bis,Data del trattamento fino,,,
aufbereitungsdatum-bis-mineralische-bauabfaelle,Aufbereitungsdatum bis,Data del trattamento fino,,,
aufbereitungsdatum-von,Aufbereitungsdatum von,Data del trattamento dal,,,
aufbereitungsdatum-von-mineralische-bauabfaelle,Aufbereitungsdatum von,Data del trattamento dal,,,
auflistung-aenderungen,Welche?,Quali?,,,
aufstellung-im-freien,Aufstellung im Freien,Installazione all'aperto,,,
aufstellungsraum-der-feuerungsanlage-titel,Aufstellungsraum der Feuerungsanlage Titel,Locale di installazione dell'impianto di combustione titolo,,"---
#### Aufstellungsraum der Feuerungsanlage",
ausbauasphalt,Ausbauasphalt (m³ oder t),Asfalto di demolizione (m³ o t),,,
ausbildungsnachweis,Ausbildungsnachweis,Attestato di formazione,,,
ausbildungsnachweis-vorhanden,Ausbildungsnachweis vorhanden?,È disponibile un attestato di formazione?,,,
ausfuehrungsart,Ausführungsart,Tipo di esecuzione,,,
ausfuehrungsart-der-produkteleitung,Ausführungsart der Produkteleitung,Tipo di esecuzione della condotta del prodotto,,,
aushubmaterial,Aushubmaterial (m³ oder t),Materiale di scavo (m³ o t),,,
auskleidungs-produkt,Auskleidungs-Produkt,Prodotto del manto,,,
auskleidungs-produkt-2,Auskleidungs-Produkt,Prodotto del manto,,,
ausnuetzungsziffer-titel,Nutzungsziffer Titel,Indice di utilizzazione titolo,,"---
#### Nutzungsziffer",
aussenwaende,Aussenwände (Konstruktion),Pareti esterne (costruzione),,,
ausserhalb-bauzone,Bauvorhaben (teilweise) ausserhalb Bauzone,Progetto di costruzione (parzialmente) fuori dalle zone edificabili,,,
bab-baujahr,Baujahr,Anno di costruzione,,,
bab-begruendung,Begründung,Motivazione,,,
bab-beschrieb,Beschrieb,Descrizione,,,
bab-weitere-angaben,Weitere Angaben,Altre indicazioni,,,
bauabhnahme-durchgefuehrt,Bauabnahme durchgeführt,Collaudo svolto,,,
bauabnahme,Datum Bauabnahme,Data del collaudo,,,
bauabnahme-abgeschlossen,Bauabnahme abgeschlossen,Collaudo concluso,,,
bauabstaende-mehrlaengen-titel,Bauabstände / Mehrlängen Titel,Distanze / maggiore lunghezza titolo,,"---
#### Bauabstände / Mehrlängen",
bauanzeige-bauvorhaben-betrifft,Bauvorhaben betrifft,Progetto di costruzione concerne,,,
bemerkungen-baubegleitung,Bemerkungen,Osservazioni,,,
bauanzeige-haustechnische-anlagen-brandschutz,Ist das Bauvorhaben feuerpolizeilich bewilligungspflichtig?,"Il progetto di costruzione è soggetto al permesso di polizia del fuoco?",,,"Bitte beachten: Die Befreiung von der Baubewilligungspflicht entbindet nicht von der Einhaltung der Vorschriften des materiellen Rechts (z.B. Grenzabstand bei Kleinbauten) und der Einholung anderer Bewilligungen (z.B. Gastwirtschaftsbewilligun-gen).    Bestehen Anzeichen dafür, dass durch ein bewilligungsfreies Bauvorhaben Vorschriften des materiellen Rechts verletzt sein könnten, leitet die kommunale Baubehörde von Amtes wegen, auf Ersuchen der Fachstelle oder auf Hinweis von Dritten hin das Baubewilligungsverfahren ein (vgl. Art. 40 Abs. 3 der kantonalen Raumplanungsverordnung [KRVO])"
bauart,Bauart,Tipo di costruzione,,,
baubeginn,Baubeginn,Inizio dei lavori,,,
baubegleitung-abschliessen,Bauabnahme erfolgt,Collaudo avvenuto,,,
baugespann,Baugespann,"Modine",,,Hinweis: Das Baugespann muss zum Zeitpunkt der Baueingabe erstellt sein (vgl. Art. 43 der kantonalen Raumplanungsverordnung [KRVO]).
baugespann-erstellt-am,Erstellt am,Data di creazione,,,
baujahr,Baujahr,Anno di costruzione,,,
baujahr-bhkw,Baujahr,Anno di costruzione,,,
baujahr-der-anlage,Baujahr der Anlage,Anno di costruzione dell'impianto,,,
baujahr-holzfeuerung,Baujahr,Anno di costruzione,,,
baujahr-lageranlage,Baujahr der Lageranlage,Anno di costruzione dell'impianto di deposito,,,
baujahr-notstromanlage,Baujahr,Anno di costruzione,,,
baujahr-oel-gasfeuerung,Baujahr,Anno di costruzione,,,
baukonstruktion-titel,Baukonstruktion Titel,Costruzione titolo,,"---
#### Baukonstruktion",
begruendung-ausname-solarpflicht,Begründung,Motivazione,,,
baukosten,Total (Fr.),Totale (fr.),,,
bauliche-angaben,Brandschutz - Bauliche Angaben,Protezione antincendio - indicazioni edilizie,,,
bauliche-angaben-titel,Brandschutz - Bauliche Angaben Titel,Protezione antincendio - indicazioni edilizie titolo,,### Brandschutz - Bauliche Angaben,
bauliche-veraenderungen-abgasanlage,Finden an der Abgasanlage/Kamin bauliche Veränderungen statt?,Vengono effettuate modifiche edilizie all'impianto di evacuazione dei gas di scarico/camino?,,,
bauliche-veraenderungen-aufstellungsraum,Finden im Aufstellungsraum an der Feuerungsanlage und/oder an den Wänden/Decken/Türen bauliche Veränderungen statt?,Vengono effettuate modifiche edilizie nel locale di installazione dell'impianto di combustione e/o a pareti/soffitto/porte?,,,
bauliche-veraenderungen-brennstofflagerung,Finden bauliche Veränderungen statt oder ändert sich die Lagermenge?,Vengono effettuate modifiche edilizie o cambia la capacità di stoccaggio?,,,
bauten-ausserhalb-bauzone,Bauten ausserhalb Bauzone,Edifici fuori dalle zone edificabili,,,
bauten-titel,Bauten Titel,Edifici titolo,,"---
### Bauten",
bauten-und-anlagen-ausserhalb-bauzone-titel,Bauten und Anlagen ausserhalb Bauzone Titel,Edifici e impianti fuori dalle zone edificabili titolo,,### Bauten und Anlagen ausserhalb der Bauzone (BAB),
baute-oder-anlage,Handelt es sich um eine Baute oder um eine Anlage?,"Si tratta di un edificio o di un impianto?",,,
bau-und-werkstoff,Bau- und Werkstoff,Materiale di costruzione e di produzione,,,
bauvorhaben,Vorhaben,Progetto,,,
bauvorhaben-feuerpolizeilich-bewilligungspflichtig,Ist das Bauvorhaben feuerpolizeilich bewilligungspflichtig?,Il progetto di costruzione è soggetto al permesso di polizia del fuoco?,,,
bauvorhaben-mit-gewerbenutzung,Bauvorhaben mit Gewerbenutzung / Industrienutzung / landwirtschaftlichem Gewerbe,Progetto di costruzione con utilizzazione a scopi artigianali / industriali / per azienda agricola,,,
beanspruchte-flaeche,Beanspruchte Fläche (m²),Superficie utilizzata (m²),,,
bedachung,Bedachung (Wärmedämmschicht),Copertura (strato di isolamento termico),,,
begruend,Begründ,Motivazione,,,
begruendung-energie-waermequelle-heizung,Begründung,Motivazione,,,
begruendung-energie-waermequelle-warmwasser,Begründung,Motivazione,,,
begruendung-fuer-die-entfernung-hecke,Begründung für die Entfernung der Hecke / des Feldgehölzes (Standortgebundenheit),Spiegare per quale motivo è necessario rimuovere la siepe / il boschetto campestre (ubicazione vincolata),,,
begruendung-kein-abwasser,Begründung,Motivazione,,,
begruendung-kein-ausbildungsnachweis,Begründung,Motivazione,,,
begruendung-keine-abluft,Begründung,Motivazione,,,
begruendung-keine-aenderungen-zur-vorherigen-bewilligung,Begründung,Motivazione,,,
begruendung-keine-eingangskontrolle,Begründung,Motivazione,,,
begruendung-keine-feststoffabfaelle,Begründung,Motivazione,,,
begruendung-keine-in-prozesskontrolle,Begründung,Motivazione,,,
begruendung-waermeerzeuger-heizung,Begründung,Motivazione,,,
begruendung-waermeerzeuger-warmwasser,Begründung,Motivazione,,,
behaelterfabrikant,Behälterfabrikant,Produttore del serbatoio,,,
beleuchtung,Beleuchtung,Illuminazione,,,
bemerkungen,Bemerkungen,Osservazioni,,,
bemerkungen-ausnuetzungsziffer,Bemerkungen,Osservazioni,,,
bemerkungen-bauabstaende,Bemerkungen,Osservazioni,,,
bemerkungen-brandschutz-haustechnik,Bemerkungen,Osservazioni,,,
bemerkungen-brauchwasser,Bemerkungen,Osservazioni,,,
bemerkungen-gebaeudehoehen,Bemerkungen,Osservazioni,,,
bemerkungen-kommentare,Bemerkungen / Kommentare,Osservazioni / commenti,,,
bemerkungen-motorenbetrieb,Bemerkungen,Osservazioni,,,
bemerkungen-weitere-materielle-pruefung,Bemerkungen,Osservazioni,,,
bemerkungen-zonenkonformitaet,Bemerkungen,Osservazioni,,,
bemerkungen-zum-betrieb,Bemerkungen zum Betrieb,Osservazioni relative all'esercizio,,,"z.B. bivalentes System, Solareintrag, Nah- oder Fernwärmeverbund etc."
berechnungsergebnisse-titel,Berechnungsergebnisse Titel,Risultati del calcolo titolo,,"---
#### Berechnungsergebnisse",
berechnungsgrundlagen-statischer-text,Berechnungsgrundlagen statischer Text,Basi di calcolo testo statico,,"<table>
  <tr>
    <th align=""left"">Anzahl Simulationsjahre</th>
    <td>50 Jahre</td>
  </tr>
  <tr>
    <th align=""left"">Temparaturdifferenz über Sonde (Richtwert 3 - 4 K, maximal 5)</th>
    <td>3 K</td>
    <td>4 K</td>
    <td>5 K</td>
  </tr>
  <tr>
    <th align=""left"">Rücklauftemperatur nach 50 Jahre minimal</th>
    <td>-3.0 °C</td>
    <td>-3.5 °C</td>
    <td>-4.0 °C</td>
  </tr>
</table>",
berechnungsgrundlagen-titel,Berechnungsgrundlagen Titel,Basi di calcolo titolo,,"---
#### Berechnungsgrundlagen",
bericht-zur-umweltvertraeglichkeitspruefung-uvp,Bericht zur Umweltverträglichkeitsprüfung (UVP),Rapporto relativo all'esame dell'impatto sull'ambiente (EIA),,,
berieselungsanlage,Berieselungsanlage,Impianto di irrigazione,,,
beschreibung-abbau-und-verarbeitung-von-steinen-und-erden,Beschreibung,Descrizione,,,
beschreibung-abgasanlage,Beschreibung,Descrizione,,,
beschreibung-art-der-anlage,Beschreibung,Descrizione,,,
beschreibung-art-der-waermequelle,Beschreibung,Descrizione,,,
beschreibung-art-des-betriebs,Beschreibung,Descrizione,,,
beschreibung-art-des-gebaeude,Beschreibung,Descrizione,,,
beschreibung-art-und-menge-des-abwassers,Beschreibung,Descrizione,,,
beschreibung-aussenwaende,Beschreibung,Descrizione,,,
beschreibung-baugewerbe,Beschreibung,Descrizione,,,
beschreibung-bauvorhaben,Titel des Vorhabens,"Titolo del progetto",,,
beschreibung-bauvorhaben-details,Beschreibung,"Descrizione",,,
beschreibung-biogener-brennstoff,Beschreibung Brennstoff,Descrizione del combustibile,,,
beschreibung-branche,Beschreibung,Descrizione,,,
beschreibung-brennstoff,Beschreibung,Descrizione,,,
beschreibung-brennstofftyp,Beschreibung,Descrizione,,,
beschreibung-bypassbetrieb,Beschreibung,Descrizione,,,
beschreibung-der-anlage-des-prozesses,Beschreibung der Anlage / des Prozesses,"Descrizione dell'impianto / del processo",,,
beschreibung-der-anlagen,Bauvorhaben mit folgenden Anlagen,Progetto di costruzione con i seguenti impianti,,,
beschreibung-der-landwirtschaftlichen-bauten,Beschreibung der landwirtschaftlichen Bauten,Descrizione degli edifici rurali,,,
beschreibung-der-nutzung,Beschreibung der Nutzung,Descrizione dell'utilizzazione,,,
beschreibung-der-verwendeten-stoffe-und-produkte,Beschreibung der Verwendeten Stoffe und Produkte,Descrizione delle sostanze e dei prodotti usati,,,
beschreibung-der-wohnnutzung,Beschreibung der Wohnnutzung,Descrizione dell'utilizzazione a scopo abitativo,,,
beschreibung-details-alternativenergien,Beschreibung,Descrizione,,,
beschreibung-dienstleistungen,Beschreibung,Descrizione,,,
beschreibung-einsatz-des-grundwassers,Beschreibung,Descrizione,,,
beschreibung-einzelfeuerung,Beschreibung Einzelfeuerung,Descrizione dell'impianto di combustione singolo,,,
beschreibung-farbton-absorberflaeche,Beschreibung,Descrizione,,,
beschreibung-farbton-einfassungen,Beschreibung,Descrizione,,,
beschreibung-fossiler-brennstoff,Beschreibung,Descrizione,,,
beschreibung-gebaeudeart,Beschreibung,Descrizione,,,
beschreibung-grossviehstall,Beschreibung Grossviehstall,Descrizione della stalla per bestiame grosso,,,
beschreibung-hecken,Beschreibung,Descrizione,,,
beschreibung-innenwaende,Beschreibung,Descrizione,,,
beschreibung-kantonsstrassen,Beschreibung,Descrizione,,,
beschreibung-kleinviehstall,Beschreibung Kleinviehstall,Descrizione della stalla per bestiame minuto,,,
beschreibung-kunststoffverarbeitung,Beschreibung,Descrizione,,,
besitzverhaeltnis,Besitzverhältnis,Rapporti di proprietà,,,
beschreibung-lagergut,Beschreibung,Descrizione,,,Sicherheitsdatenblatt beilegen
beschreibung-metall-maschinenindustrie,Beschreibung,Descrizione,,,
beschreibung-minderungseinrichtung,Beschreibung,Descrizione,,,"Fabrikat, Typ, Lieferant, Wirkungsgrad; evtl. Prospekt beilegen"
beschreibung-nahrungsmittelindustrie,Beschreibung,Descrizione,,,
beschreibung-oekonomiebaute,Beschreibung,Descrizione,,,
beschreibung-platzierung-der-anlage,Beschreibung,Descrizione,,,
beschreibung-rueckgabeart,Beschreibung,Descrizione,,,
beschreibung-tragwerk,Beschreibung,Descrizione,,,
beschreibung-vorgesehene-abwasservorbehandlung,Beschreibung,Descrizione,,,
beschreibung-wasserversorgung-fassung-vorgesehen,Beschreibung Fassung,Descrizione della captazione,,,
beschreibung-wasserversorgung-vorhanden,Beschreibung vorhandene Wasserversorgung,Descrizione dell'approvvigionamento idrico esistente,,,
beschreibung-weitere-sonderabfaelle,Beschreibung weitere Sonderabfälle,Descrizione di altri rifiuti speciali,,,
beschreibung-zweck-der-bohrung,Beschreibung,Descrizione,,,
