id,info_text,info_text
gesetzliche-vorgaben,"Raumplanungsverordnung
Art. 32a Bewilligungsfreie Solaranlagen

1 Solaranlagen gelten als auf einem Dach genügend angepasst (Art. 18a Abs. 1 RPG), wenn sie:

a. die Dachfläche im rechten Winkel um höchstens 20 cm überragen;
b. von oben gesehen nicht über die Dachfläche hinausragen;
c. nach dem Stand der Technik reflexionsarm ausgeführt werden; und
d. kompakt angeordnet sind; technisch bedingte Auslassungen oder eine versetzte Anordnung aufgrund der verfügbaren Fläche sind zulässig.

1bis Solaranlagen auf einem Flachdach gelten auch dann als genügend angepasst, wenn sie anstelle der Voraussetzungen nach Absatz 1:

a. die Oberkante des Dachrandes um höchstens einen Meter überragen
b. von der Dachkante so weit zurückversetzt sind, dass sie, von unten in einem Winkel von 45 Grad betrachtet, nicht sichtbar sind; und
c. nach dem Stand der Technik reflexionsarm ausgeführt werden.

2 Konkrete Gestaltungsvorschriften des kantonalen Rechts sind anwendbar, wenn sie zur Wahrung berechtigter Schutzanliegen verhältnismässig sind und die Nutzung der Sonnenenergie nicht stärker einschränken als Absatz 1.

3 Bewilligungsfreie Vorhaben sind vor Baubeginn der Baubewilligungsbehörde oder einer anderen vom kantonalen Recht für zuständig erklärten Behörde zu melden. Das kantonale Recht legt die Frist sowie die Pläne und Unterlagen, die der Meldung beizulegen sind, fest.","Ordinanza sulla pianificazione del territorio
Art. 32a Impianti solari non soggetti ad autorizzazione

1 Un impianto solare è sufficientemente adattato a un tetto (art. 18a cpv. 1 LPT), se:

a. sporge ortogonalmente di al massimo 20 cm dalla superficie del tetto;
b. visto dall'alto non sporge dalla superficie del tetto;
c. in base allo stato della tecnica, presenta un basso grado di riflessione; e
d. le varie parti sono disposte in modo compatto; sono ammessi spazi lasciati vuoti per motivi tecnici o una disposizione sfalsata dovuta alla superficie disponibile.

1bis Un impianto solare è sufficientemente adattato anche a un tetto piano, se anziché rispettare le condizioni di cui al capoverso 1:

a. sporge dal bordo superiore del tetto al massimo di un metro
b. è arretrato rispetto allo spigolo del tetto al punto da non essere visibile se guardato dal basso con un angolo di 45 gradi; e
c. in base allo stato della tecnica, presenta un basso grado di riflessione.

2 Concrete prescrizioni edilizie fondate sul diritto cantonale sono applicabili se sono proporzionali a giustificate esigenze di protezione e se non limitano lo sfruttamento dell'energia solare in misura superiore a quanto previsto al capoverso 1.

3 I progetti esenti dall'obbligo di autorizzazione devono essere annunciati, prima che inizino i lavori, all'autorità preposta al rilascio dell'autorizzazione edilizia o a un'altra autorità competente secondo il diritto cantonale. Il diritto cantonale fissa il termine per l'annuncio nonché i piani e la documentazione da allegare."
guellelager-titel,"Bezüglich Güllegruben sind folgende Angaben bekannt zu geben:
- Wo befinden sich die bestehenden Güllelagerräume?
- Wo wird ein neues Güllelager erstellt?

Beim Einbau eines vorproduzierten Gülletanks muss dem Baugesuch eine detaillierte Produktespezifikation beigelegt werden. Daraus muss ersichtlich sein, dass der Tank für die Lagerung von Gülle geeignet ist (Garantie des Herstellers).","In merito alle fosse per il colaticcio devono essere fornite le indicazioni seguenti:
- Dove si trovano i serbatoi per il colaticcio esistenti?
- Dove viene realizzato un nuovo serbatoio per il colaticcio?

Se viene installato un serbatoio per il colaticcio prefabbricato, alla domanda di costruzione occorre allegare una descrizione dettagliata del prodotto. Da essa deve risultare che il serbatoio è idoneo allo stoccaggio del colaticcio (garanzia del produttore)."
haustechnische-anlagen-brandschutz,"### Feuerpolizeiliche Bewilligung

Nach Art. 7 Abs. 1 des kantonalen Brandschutzgesetzes sind folgende Vorhaben bewilligungspflichtig:


1. Neu-, An-, Um- und Ausbauten sowie die Umnutzung von Gebäuden oder Gebäudeteilen;<br>
1. Neu-, Aus- und Umbauten von haustechnischen Anlagen und technischen Brandschutzeinrichtungen;<br>
1. Betriebe, Anlagen und Einrichtungen, die der Herstellung, Verarbeitung oder Lagerung feuer- oder explosionsgefährlicher Stoffe und Waren dienen;<br>
1. Veranstaltungen mit besonderer Gefährdung von Personen, Tieren oder Sachen;<br>
1. das Abbrennen von pyrotechnischen Gegenständen zu Vergnügungszwecken (Feuerwerkskörper) und zu gewerblichen Zwecken.<br>","### Permesso di polizia del fuoco

Secondo l'art. 7 cpv. 1 della legge cantonale sulla protezione antincendio sono soggetti all'obbligo del permesso i progetti seguenti:


1. nuove costruzioni, costruzioni annesse, trasformazioni, ampliamenti nonché la destinazione ad altro scopo di edifici o parti di essi;<br>
1. nuove costruzioni, ampliamenti e modifiche di installazioni tecniche e dispositivi tecnici di protezione antincendio;<br>
1. aziende, impianti e installazioni che servono alla produzione, alla lavorazione o al deposito di sostanze e merci a rischio di incendio o di esplosione;<br>
1. manifestazioni con particolare pericolo per persone, animali od oggetti;<br>
1. l'accensione di pezzi pirotecnici per scopi di svago (fuochi d'artificio) e a scopo commerciale.<br>"
heizleistung-waermepumpe-verdampfer,"B0W35 bedeutet, dass eine Sole-Wasser-Wärmepumpe mit einer Soletemperatur von 0 °C und einer Vorlauftemperatur von 35 °C arbeitet.",B0W35 significa che una pompa di calore acqua glicolata-acqua lavora con una temperatura dell'acqua glicolata pari a 0 °C e una temperatura di mandata pari a 35 °C.
hinweis-hindernisfreies-bauen,"Art. 80 KRG definiert den Geltungsbereich und die Anforderungen an das behindertengerechte Bauen. Die fachliche Beurteilung nach SIA 500 erfolgt durch die Pro Infirmis.

Zur Beurteilung des Bauvorhabens werden folgende Unterlagen benötigt:

- Umgebungsplan mit Gebäudezugang und Aussenparkplätzen (Mst. 1:200 / 500)
- Grundrisse aller Geschosse / Schnitte / Fassaden (Mst. 1:100 / 200)
- bei komplexen Baugesuchen ist ein Konzept (stufenlose Erschliessung / Toiletten / Parkplätze) zum hindernisfreien Bauen einzureichen

Wird die Umsetzung von behindertengerechten Massnahmen von der Bauherrschaft als unverhältnismässig beurteilt (> 20 % der Bausumme), hat sie dies mit einem detaillierten Nachweis im Baubewilligungsverfahren zu belegen.","L'art. 80 LPTC definisce il campo d'applicazione e i requisiti per l'edificazione adatta ai disabili. La valutazione specialistica secondo SIA 500 viene svolta da Pro Infirmis.

Per la valutazione del progetto di costruzione è necessaria la documentazione seguente:

- Piano dei dintorni con accesso all'edificio e parcheggi esterni (scala 1:200 / 500)
- Piante di tutti i piani / sezioni / facciate (scala 1:100 / 200)
- In caso di domande di costruzione complesse occorre inoltrare una strategia inerente la costruzione priva di ostacoli (accesso senza scalini / toilette / parcheggi)

Se la committenza ritiene che l'attuazione delle misure conformi alle esigenze dei disabili sia sproporzionata (> 20 % della somma per tutti i lavori di costruzione), questa situazione deve essere giustificata dettagliatamente nella procedura per il rilascio della licenza edilizia."
isos,"#### INFO
Die Installation einer Solaranlage welche Gebiete, Baugruppen oder Einzelelemente gemäss Bundesinventar der schützenswerten Ortsbilder von nationaler Bedeutung (ISOS) mit Erhaltungsziel A betrifft, sind nicht grundsätzlich ausgeschlossen. Entsprechende Projekte müssen jedoch zwingend im Rahmen eines ordentlichen Baubewilligungsverfahren durch die kantonale Denkmalpflege geprüft werden. Weitere Informationen zum [ISOS](https://gisos.bak.admin.ch/).","#### INFO
L'installazione di un impianto solare che interessa zone, gruppi di edifici o elementi singoli conformemente all'Inventario degli insediamenti svizzeri da proteggere (ISOS) con obiettivo di salvaguardia A non è esclusa in generale. È tuttavia imperativo che i relativi progetti siano esaminati dal Servizio monumenti cantonale nel quadro di una procedura ordinaria per il rilascio della licenza edilizia. Maggiori informazioni relative all'[ISOS](https://gisos.bak.admin.ch/)."
kocheinrichtung,"####INFO

Kocheinrichtung

Feste Installationen die für die Zubereitung von Mahlzeiten und das Spülen von Geschirr vorbereitet sind.

Mit der Einführung des Bundesgesetzes über Zweitwohnungen werden Wohnungen als solche gezählt, sobald technische Installationen für eine Kocheinrichtung vorhanden sind, auch wenn die Kocheinrichtung nicht ausgebaut ist (Botschaft zum Bundesgesetz über Zweitwohnungen vom 19. Februar 2014).","####INFO

Cucina

Installazione fissa destinata alla preparazione dei pasti e al lavaggio delle stoviglie.

Quando è stata varata la legge sulle abitazioni secondarie, il legislatore ha previsto di considerare come abitazioni quelle provviste delle installazioni tecniche, anche se la cucina non è stata installata (messaggio concernente la legge federale sulle abitazioni secondarie del 19 febbraio 2014)."
komplexe-erdwaermesonden-anlage,"Komplexe Anlagen sind Anlagen mit mehr als 4 Erdwärmesonden, mit spezifischen Anforderungen an die Kühlung, bei Einbringen von Abwärme in die Erdwärmesonden oder mit einem speziellen Bedarfsprofil.","Sono considerati «complessi» gli impianti con più di quattro sonde geotermiche, con requisiti specifici per il raffreddamento, per l'apporto di calore residuo nelle sonde geotermiche o con un particolare profilo delle esigenze."
kulturobjekt,"#### INFO
Die Installation einer Solaranlage auf dem Dach eines Kulturobjekts ist nicht grundsätzlich ausgeschlossen. Ein entsprechendes Vorhaben muss jedoch zwingend im Rahmen eines ordentlichen Baubewilligungsverfahren durch die kantonale Denkmalpflege geprüft werden.

Als Kulturobjekte gelten Kulturgüter von internationaler, nationaler oder regionaler Bedeutung gemäss Artikel 2 Buchstaben a–c der Kulturgüterschutzverordnung vom 17. Oktober 1984; (siehe www.kgs.admin.ch > KGS-Inventar A-Objekte [national] und B-Objekte [regional].

Kulturgüter von nationaler oder regionaler Bedeutung, die in einem anderen Inventar verzeichnet sind, das der Bund gestützt auf das Bundesgesetz vom 1. Juli 1966 über den Natur- und Heimatschutz (NHG) beschlossen hat; (siehe Inventar der erhaltenswerten ehemaligen Kampf- und Führungsbauten ADAB, Inventar der militärischen Hochbauten HOBIM, das Inventar der historischen Bahnhöfe SBB und das Schweizer Seilbahninventar).

Ebenfalls in diese Kategorie fallen Kulturgüter von nationaler oder regionaler Bedeutung, für die Bundesbeiträge im Sinne von Artikel 13 NHG zugesprochen wurden (siehe Grundbuchanmerkung) sowie Objekte, die im vom Bund genehmigten Richtplan als Kulturdenkmäler von kantonaler Bedeutung im Sinn von Artikel 18a Absatz 3 RPG bezeichnet werden (siehe kantonales Schutzinventar).

Bei lokalen Kulturgütern überprüft die Baubehörde via Grundbuch, ob für die Erhaltung des Objekts Beiträge der öffentlichen Hand gesprochen wurden und damit eine Eigentumsbeschränkung vorliegt. Auf einem solchen Objekt sind Solaranlagen ebenfalls baubewilligungspflichtig.","#### INFO
L'installazione di un impianto solare sul tetto di un oggetto culturale non è esclusa in generale. È tuttavia imperativo che un relativo progetto sia esaminato dal Servizio monumenti cantonale nel quadro di una procedura ordinaria per il rilascio della licenza edilizia.

I beni culturali sono classificati nelle categorie beni culturali d'importanza nazionale, regionale o locale conformemente all'articolo 2 lettere a–c dell'ordinanza sulla protezione dei beni culturali del 17 ottobre 1984; (vedi https://www.babs.admin.ch/it/la-protezione-dei-beni-culturali-in-svizzera > Inventario PBC oggetti A [nazionali] e B [regionali].

Beni culturali di importanza nazionale o regionale inseriti in un altro inventario che la Confederazione ha deciso in virtù della legge federale sulla protezione della natura e del paesaggio (LPN) del 1° luglio 1966; (vedi Inventario delle opere di combattimento e di condotta degne di essere conservate (ADAB), Inventario degli edifici militari (HOBIM), Inventario delle stazioni storiche delle FFS e Inventario svizzero degli impianti a fune).

Rientrano in questa categoria anche i beni culturali di importanza nazionale o regionale per cui sono stati stanziati sussidi federali ai sensi dell'articolo 13 LPN (vedi menzione nel registro fondiario) nonché i beni indicati come beni culturali di importanza cantonale nel piano direttore approvato dalla Confederazione ai sensi dell'articolo 18a capoverso 3 LPT (vedi inventario cantonale di protezione).

Per beni culturali locali è l'autorità edilizia a verificare nel registro fondiario se per la conservazione del bene sono stati stanziati contributi dell'ente pubblico e di conseguenza se si è in presenza di una restrizione del diritto di proprietà. Su un bene di questo tipo gli impianti solari necessitano di una licenza edilizia."
lage,"####INFO
Lage auf dem Stockwerk

Die Lage auf dem Stockwerk dient dazu, einzelne Wohnungen eines Gebäudes, welche bezüglich der Stockwerkangabe und der Anzahl Zimmer identisch sind, voneinander zu unterscheiden.

Es kann sich um Angaben wie «Links»/ «Mitte»/ «Rechts»oder andere eindeutige und beständige Charakteristiken wie «Nord»/ «Ost»/ «Süd»/ «West»handeln.

Für Wohnungen in Gebäuden mit mehr als drei Wohnungen pro Stockwerk wird anstelle einer Lagebezeichnung die Erfassung einer physischen Wohnungsnummer empfohlen","####INFO
Situazione sul piano

La situazione sul piano permette di distinguere tra le abitazioni di un edificio per il quale l'indicazione del piano e il numero dei locali sono identici.

Può trattarsi di indicazioni come «sinistra» / «centro» / «destra» o di altre caratteristiche uniche e permanenti, come «nord» / «est» / «sud» / «ovest».

Per le abitazioni situate in edifici in cui si trovano più di tre abitazioni per piano si raccomanda di registrare il numero fisico dell'abitazione anziché la situazione sul piano."
lage-der-solaranlage,[Weiterführende Informationen zu Brandschutz bei Photovoltaikanlagen](https://gvg.gr.ch/node/121),[Ulteriori informazioni relative a impianti fotovoltaici e protezione antincendio](https://gvg.gr.ch/it/node/121)
mehr-als-50-arbeitsplaetze,"Nach Art. 80 Abs. 1 des kantonalen Raumplanungsgesetzes (KRG) sind neue Bauten und Anlagen mit mehr als 50 Arbeitsplätzen nach den anerkannten Fachnormen so zu gestalten, dass sie auch für Menschen mit Behinderung zugänglich sind.","Secondo l'art. 80 cpv. 1 della legge sulla pianificazione territoriale del Cantone dei Grigioni (LPTC), edifici e impianti nuovi con più di 50 posti di lavoro devono essere configurati secondo le norme specialistiche riconosciute, in modo tale che siano accessibili anche ai disabili."
mehr-als-vier-wohneinheiten,Art. 80 des kantonalen Raumplanungsgesetzes (KRG),Art. 80 della legge sulla pianificazione territoriale del Cantone dei Grigioni (LPTC)
mehrgeschossige-wohnung,"####INFO

Mehrgeschossige Wohnung

Gibt an, dass die Wohnung über mehrere Stockwerke gebaut ist (Maisonette)","####INFO

Abitazione su più piani

Indica che l'abitazione è costruita su più piani (duplex)"
mistlager-titel,"Es ist eine Skizze resp. ein Übersichtsplan des geplanten Bauvorhabens beizulegen. Genaue Bemassung, Darstellung der Entwässerung, Abschluss der offenen Mistlagerseite, Fliessrichtung der Gülle / des Mistwassers, Standort und Grösse der Güllegrube / Sammelgrube, etc. müssen ersichtlich sein.

Bei Mistplatten sind folgende Angaben bekannt zu geben:
- Auf welchen Seiten werden Umrandungen erstellt?
- Wie hoch sind die Umrandungen?
- Was für Bodenbeläge befinden sich in den verschiedenen Stall- und Auslaufbereichen?
- Wo befindet sich ein Schacht, eine Rinne oder Spaltenboden?
- Abschluss der Mistplatte (Bedienungsseite) detailliert einzeichnen.
- In welche Richtung fliesst Mistwasser / Gülle? Bitte mit Pfeilen einzeichnen.
- Foto des bestehenden Mistlagers beilegen.","Deve essere allegato uno schizzo o un piano corografico del progetto di costruzione previsto. Sullo schizzo o sul piano corografico devono essere visibili le dimensioni precise, l'illustrazione dello smaltimento delle acque, il bordo del lato aperto del letamaio, la direzione di scorrimento del colaticcio / del percolato, l'ubicazione e le dimensioni della fossa per il colaticcio / fossa collettrice, ecc.

In merito alle piattaforme per il letame devono essere fornite le indicazioni seguenti:
- Su quali lati vengono realizzati dei bordi?
- Quanto sono alti?
- Quale tipo di rivestimento del suolo viene usato nei diversi settori della stalla e dell'area di uscita?
- In quali punti si trova un pozzo, un canale o un pavimento a griglia?
- Disegnare dettagliatamente il bordo della piattaforma del letame (lato di accesso).
- In quale direzione scorre il percolato / il colaticcio? Si prega di indicare con frecce.
- Allegare fotografie del letamaio esistente."
neben-kulturobjekt,"#### INFO
Wenn die geplante Solaranlage auf dem Dach eines Gebäudes welches unmittelbar neben einem Kulturobjekt (Beschreibung Kulturobjekt siehe INFO Kulturobjekt) oder in direkter Nachbarschaft zu einem Kulturobjekt steht, realisiert wird, muss das Vorhaben zwingend durch die kantonale Denkmalpflege geprüft werden. Falls die technischen Anforderungen erfüllt sind und das Vorhaben auch mit den Anliegen der Denkmalpflege vereinbar ist, kann die zuständige Gemeindebaubehörde auf die Durchführung eines ordentlichen Baubewilligungsverfahren verzichten.","#### INFO
Se l'impianto solare previsto viene realizzato sul tetto di un edificio che si trova proprio accanto a un bene culturale (per la descrizione di bene culturale vedi INFO bene culturale) o nelle immediate vicinanze di un bene culturale, il progetto deve essere necessariamente esaminato dal Servizio monumenti cantonale. Se i requisiti tecnici sono soddisfatti e il progetto è conciliabile anche con le esigenze del Servizio monumenti, la competente autorità edilizia comunale può rinunciare a svolgere una procedura ordinaria per il rilascio della licenza edilizia."
nichtforstliche-kleinbaute,"Nichtforstliche Kleinbauten und Kleinanlagen sind insbesondere Anbauten, Masten, Feuerstellen, Sport- und Lehrpfade, erdverlegte Leitungen, Passhütten, Bienenhäuser, Niederhaltungen bei oberirdischen Leitungen sowie entlang von Strassen und Bahnen, Wildbachsperren und Geschiebesammler.","Sono considerate piccole costruzioni e impianti non forestali in particolare costruzioni annesse, tralicci, focolari, sentieri sportivi e didattici, condotte interrate, rifugi sui passi, alveari, dispositivi di fissaggio al suolo per le condotte in superficie, nonché lungo le strade e le linee ferroviarie, sbarramenti di torrenti e bacini di raccolta di materiale."
qualitaetssicherungsstufe-qss,Für weitere Informationen siehe [Schweizerische Brandschutzvorschriften](https://www.bsvonline.ch/de/vorschriften/#c-richtlinien).,Per maggiori informazioni vedi [Prescrizioni svizzere della protezione antincendio](https://www.bsvonline.ch/it/prescrizione-della-protezione-antincendio/prescrizioni-2015#c-direttive).
rodung,"Eine Rodung ist eine dauernde oder vorübergehende Zweckentfremdung von Waldareal für nichtforstliche Zwecke. Die gerodete Fläche ist nicht mehr Wald im Sinne des Waldgesetzes. Im Gegensatz zum Kahlschlag wird das Aufkommen der Waldbäume dauernd (definitiv) bzw. während einer gewissen Zeit (temporär) verhindert. Rodungen sind verboten, können aber, wenn wichtige Gründe vorliegen, ausnahmsweise bewilligt werden (vgl. Art. 5 des kantonalen Waldgesetzes (KWaG]).","Si considera dissodamento ogni cambiamento, durevole o temporaneo, delle finalità dell'area boschiva per scopi non forestali. La superficie dissodata non è più considerata bosco ai sensi della legge forestale. Contrariamente al taglio raso, il dissodamento impedisce la crescita degli alberi forestali in modo durevole o temporaneo. I dissodamenti sono vietati, vi è tuttavia la possibilità di concedere deroghe in presenza di gravi motivi (cfr. art. 5 della legge cantonale forestale (LCFo])."
rodungsgesuchsformular,[Rodungen und Rodungsgesuch](https://www.bafu.admin.ch/bafu/de/home/themen/wald/fachinformationen/strategien-und-massnahmen-des-bundes/rodungen-und-rodungsgesuch.html),[Dissodamenti](https://www.bafu.admin.ch/bafu/it/home/temi/bosco/info-specialisti/strategie-e-misure-della-confederazione/dissodamenti.html)
standort-kernzone,"#### INFO
Die Installation einer Solaranlage auf dem Dach eines Gebäudes innerhalb einer Kernzone ist nicht grundsätzlich ausgeschlossen. Ein entsprechendes Vorhaben muss jedoch zwingend im Rahmen eines ordentlichen Baubewilligungsverfahren durch die kantonale Denkmalpflege geprüft werden.","#### INFO
L'installazione di un impianto solare sul tetto di un edificio all'interno della zona nucleo non è esclusa in generale. È tuttavia imperativo che un relativo progetto sia esaminato dal Servizio monumenti cantonale nel quadro di una procedura ordinaria per il rilascio della licenza edilizia."
urspruenglicher-zweck-der-baute,"Angabe für welchen Zweck die Baute damals erstellt wurde (z.B. Stall, landwirtschaftliche Temporärwohnbaute).","Indicazione del tipo di destinazione per cui è stata realizzata a suo tempo la costruzione (ad es. stalla, edificio abitativo agricolo a uso temporaneo)."
uvp-pflicht,[Definition von Anlagen mit UVP-Pflicht](https://www.fedlex.admin.ch/eli/cc/1988/1931_1931_1931/de#lvl_u1/lvl_u1),[Definizione di impianti sottoposti all'obbligo di un EIA](https://www.fedlex.admin.ch/eli/cc/1988/1931_1931_1931/it#lvl_u1/lvl_u1)
vereinbarkeit-zweitwohnungsgesetz,"Das Zweitwohnungsgesetz (ZWG) gelangt in verschiedenen Gemeinden des Kantons Graubünden zur Anwendung. In diesen Gemeinden ist der Neubau von Zweitwohnungen nicht zulässig. Bauwillige haben daher mit dem Baugesuch bekannt zu geben, ob bzw. welche Wohnungen touristisch bewirtschaftet werden und welche Wohnungen als Erstwohnung oder als einer Erstwohnung gleichgestellte Wohnung genutzt werden sollen.¹

Diese Angaben sind in einem Plan zu verorten oder in einem Wohnungsspiegel zu bezeichnen.

¹ <font size=""1"">unter Hinweis auf die <a href=""https://www.gr.ch/DE/institutionen/verwaltung/dvs/ds/Documents/Zweitwohnungen/Vollzugshilfe DVS V2a_de.pdf"">kantonale Vollzugshilfe: Bundesgesetz über Zweitwohnungen (ZWG; SR 702), Zweitwohnungsverordnung (ZWV; SR 702.1)</a></font>","La legge sulle abitazioni secondarie (LASec) trova applicazione in diversi comuni del Cantone dei Grigioni. In questi comuni non è ammessa la nuova costruzione di abitazioni secondarie. Con la domanda di costruzione chi intende costruire deve dunque comunicare se e quali abitazioni vengono gestite a scopi turistici e quali abitazioni vengono invece utilizzate come abitazioni primarie oppure come abitazioni equiparate alle abitazioni primarie.¹

Queste indicazioni devono essere inserite in un piano o in una tabella delle abitazioni.

¹ <font size=""1"">Rimando alla <a href=""https://www.gr.ch/DE/institutionen/verwaltung/dvs/ds/Documents/Zweitwohnungen/Vollzugshilfe DVS V2a_it.pdf"">Guida d'applicazione cantonale: legge federale sulle abitazioni secondarie (LASec; RS 702), ordinanza sulle abitazioni secondarie (OASec; RS 702.1)</a></font>"
vorablaerungsbericht-tiefbauamt-leitungen,Bauvorhaben an Kantons- oder Nationalstrassen sind Vorabklärungspflichtig (Art. 52 Abs. 2 KRVO). Die Vorabklärung hat vor der Baueingabe zu erfolgen. Bitte informieren Sie sich auf der Homepage des Tiefbauamtes: [Leitungen (gr.ch)](https://www.gr.ch/DE/institutionen/verwaltung/diem/tba/Strassennetz/Bauen-in-Strassennaehe/Leitungen/Seiten/Leitungen.aspx),I progetti edilizi lungo strade cantonali e nazionali devono essere chiariti in via preliminare (art. 52 cpv.2 OPTC). L'esame preliminare deve essere effettuato prima di presentare la domanda di costruzione. Ulteriori informazioni sono disponibili sul sito web dell'Ufficio tecnico: [Condotte (gr.ch)](https://www.gr.ch/IT/istituzioni/amministrazione/diem/tba/Rete-stradale/Costruire-in-vicinanza-della-strada/Leitungen/Seiten/Leitungen.aspx)
vorablaerungsbericht-tiefbauamt-naeherbauten,Bauvorhaben an Kantons- oder Nationalstrassen sind Vorabklärungspflichtig (Art. 52 Abs. 2 KRVO). Die Vorabklärung hat vor der Baueingabe zu erfolgen. Bitte informieren Sie sich auf der Homepage des Tiefbauamtes: [Näherbauten und Zufahrten (gr.ch)](https://www.gr.ch/DE/institutionen/verwaltung/diem/tba/Strassennetz/Bauen-in-Strassennaehe/Seiten/N%C3%A4herbauten-und-Zufahrten.aspx),I progetti edilizi lungo strade cantonali e nazionali devono essere chiariti in via preliminare (art. 52 cpv.2 OPTC). L'esame preliminare deve essere effettuato prima di presentare la domanda di costruzione. Ulteriori informazioni sono disponibili sul sito web dell'Ufficio tecnico: [Costruzioni a distanza ridotta e accessi carrabili (gr.ch)](https://www.gr.ch/IT/istituzioni/amministrazione/diem/tba/Rete-stradale/Costruire-in-vicinanza-della-strada/Seiten/N%C3%A4herbauten-und-Zufahrten.aspx)
vorablaerungsbericht-tiefbauamt-strassenreklamen,Bauvorhaben an Kantons- oder Nationalstrassen sind Vorabklärungspflichtig (Art. 52 Abs. 2 KRVO). Die Vorabklärung hat vor der Baueingabe zu erfolgen. Bitte informieren Sie sich auf der Homepage des Tiefbauamtes: [Strassenreklamen - Bauen in Strassennähe (gr.ch)](https://www.gr.ch/DE/institutionen/verwaltung/diem/tba/Strassennetz/Bauen-in-Strassennaehe/Seiten/Strassenreklamen.aspx),I progetti edilizi lungo strade cantonali e nazionali devono essere chiariti in via preliminare (art. 52 cpv.2 OPTC). L'esame preliminare deve essere effettuato prima di presentare la domanda di costruzione. Ulteriori informazioni sono disponibili sul sito web dell'Ufficio tecnico: [Pubblicità stradale - Costruire in vicinanza della strada (gr.ch)](https://www.gr.ch/IT/istituzioni/amministrazione/diem/tba/Rete-stradale/Costruire-in-vicinanza-della-strada/Seiten/Strassenreklamen.aspx)
vorhaben,"Der **Neubau** ist bei Neuerstellungen von Bauten und Anlagen zu wählen.

Die **Erweiterung** ist bei der Vergrösserung der Gebäudefläche oder des Gebäudevolumens (z.B. Anbau oder Aufstockung) zu wählen.

Der **Umbau** ist zu wählen, sofern es sich um bauliche Massnahmen im Innern des Gebäudes (ohne Vergrösserung der Gebäudefläche oder des Gebäudevolumens) handelt.

Die **Erneuerung** umfasst bauliche Massnahmen, die über den Unterhalt hinausgehen und wertvermehrenden Charakter aufweisen. Das Bauwerk wird an die Erfordernisse der Zeit angeglichen (Modernisierung).

Die **Zweckänderung** ist zu wählen, um Gebäude in ihrer Nutzung zu ändern (z.B. Gewerbe- zu Wohnnutzung).

Der **Abbruch/Teilabbruch** ist zu wählen, um ein komplettes Bauwerk oder Teile davon rückzubauen. 

Sofern das Baugesuch bereits bewilligt wurde und weitere Änderungen geplant sind, ist die **Projektänderung einer bewilligten Baute/Anlage** zu wählen.

Lässt sich das Vorhaben keiner vorgegebenen Kategorie zuordnen, ist **andere baulich Massnahme** zu wählen. Das Vorhaben ist präszise zu beschreiben.","La voce **nuova costruzione** deve essere selezionata in caso di nuove realizzazioni di edifici e impianti.

La voce **ampliamento** deve essere selezionato in caso di ingrandimento della superficie edificata o del volume dell'edificio (ad es. aggiunta o ampliamento).

La voce **trasformazione** deve essere selezionata in caso di misure edilizie all'interno dell'edificio (senza ingrandimento della superficie edificata o del volume dell'edificio).

La voce **rinnovo** comprende misure edilizie che esulano dalla mera manutenzione e possono aumentare il valore. L'opera viene adeguata alle esigenze del tempo (modernizzazione).

La voce **cambiamento di destinazione** deve essere selezionato nel caso in cui cambia l'utilizzo dell'edificio (ad es. da scopo commerciale a scopo abitativo).

La voce **demolizione/demolizione parziale** deve essere selezionata nel caso in cui venga smantellata un'opera completa o parti di esse. 

Se la domanda di costruzione è già stata approvata e sono previste ulteriori modifiche occorre selezionare **Modifica del progetto di un edificio/impianto autorizzato**.

Se non è possibile assegnare il progetto a una delle categorie indicate, selezionare **altra misura edilizia**. Il progetto deve essere descritto in modo dettagliato."
waermeerzeuger-heizung,"Der Wärmeerzeuger entspricht der Art der technischen Installation, die im Gebäude für die Heizung der Räume genutzt wird.",Il generatore di calore corrisponde al tipo di installazione tecnica utilizzata nell'edificio per il riscaldamento dei locali.
waermeerzeuger-warmwasser,"Der Wärmeerzeuger entspricht der Art der technischen Installation, die im Gebäude für das Aufbereiten von Brauchwarmwasser genutzt wird. Kleinboiler sind dezentrale Installationen, die in der Regel Warmwasser für einen einzigen Wasserhahn oder eine einzige Dusche aufbereiten. Zentrale Gasboiler werden als Heizkessel erfasst.",Il generatore di calore corrisponde al tipo di installazione tecnica utilizzata nell'edificio per la produzione d'acqua calda. I piccoli boiler sono degli impianti decentralizzati che forniscono di regola acqua calda solamente a un solo rubinetto o a una sola doccia. I boiler a gas centrali devono essere registrati come caldaie.
wohnhaus-anzahl-zimmer,Bei der Berechnung werden halbe Zimmer nicht mitgezählt. Küche und Wohnzimmer zählen zusammen als 1 Zimmer.,Ai fini del calcolo i mezzi locali non vengono presi in considerazione. Cucina e soggiorno contano insieme come 1 locale.
wohnhaus-bestandteil-landwirtschaftliches-gewerbe,"Sofern das Wohnhaus Bestandteil eines bäuerlichen Bodenrechts ist, ist dem Baugesuch eine Feststellungsverfügung vom Grundbuchinspektorat und Handelsregister (GIHA) beizulegen (vgl. Art. 7 des Bundesgesetzes über das bäuerliche Bodenrecht [BGBB]).","Se la casa d'abitazione è parte integrante di un diritto fondiario rurale, alla domanda di costruzione deve essere allegata una decisione di accertamento dell'Ispettorato del registro fondiario e registro di commercio (IRFRC) (cfr. art. 7 della legge federale sul diritto fondiario rurale [LDFR])."
